income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Palestine ISD,34050,2020-2024,Texas,58908.0,8775.0,PALESTINE ISD,001907,Spring 2026,1261,1030.0,81.68120539254559,78.61832400581454,3.06288138673105,EOC,About expected
Katy ISD,25170,2020-2024,Texas,115908.0,3939.0,KATY ISD,101914,Spring 2026,39251,35633.0,90.78240044839622,87.72641743313615,3.055983015260068,EOC,About expected
Clint ISD,14430,2020-2024,Texas,55527.0,3786.0,CLINT ISD,071901,Spring 2026,3963,3214.0,81.10017663386323,78.07807025357289,3.0221063802903387,EOC,About expected
Canyon ISD,12810,2020-2024,Texas,94955.0,3167.0,CANYON ISD,191901,Spring 2026,4640,4051.0,87.30603448275862,84.37831424747529,2.9277202352833314,EOC,About expected
Sanger ISD,39180,2020-2024,Texas,99490.0,12636.0,SANGER ISD,061908,Spring 2026,1115,981.0,87.98206278026906,85.102966943842,2.879095836427055,EOC,About expected
Wylie ISD (Collin County),46530,2020-2024,Texas,132443.0,6682.0,WYLIE ISD,043914,Spring 2026,7777,7250.0,93.22360807509322,90.36856348262322,2.8550445924700085,EOC,About expected
Troy ISD,43260,2020-2024,Texas,84079.0,15335.0,TROY ISD,014910,Spring 2026,674,576.0,85.45994065281899,82.64042610509722,2.8195145477217665,EOC,About expected
Lubbock ISD,28500,2020-2024,Texas,53614.0,2024.0,LUBBOCK ISD,152901,Spring 2026,8651,6972.0,80.59183909374639,77.77238985486295,2.8194492388834362,EOC,About expected
Valley View ISD (Hidalgo County),43800,2020-2024,Texas,60951.0,6120.0,VALLEY VIEW ISD,108916,Spring 2026,1392,1138.0,81.75287356321839,78.94477724918329,2.8080963140350974,EOC,About expected
Luling ISD,28590,2020-2024,Texas,58684.0,5407.0,LULING ISD,028903,Spring 2026,526,428.0,81.36882129277566,78.5825307965563,2.7862904962193653,EOC,About expected
Brock ISD,11460,2020-2024,Texas,142130.0,28797.0,BROCK ISD,184909,Spring 2026,763,722.0,94.6264744429882,91.91645999192961,2.7100144510585835,EOC,About expected
Boerne ISD,10710,2020-2024,Texas,136279.0,10659.0,BOERNE ISD,130901,Spring 2026,4470,4188.0,93.69127516778524,90.98152219117068,2.7097529766145527,EOC,About expected
Burkburnett ISD,12120,2020-2024,Texas,81172.0,10068.0,BURKBURNETT ISD,243901,Spring 2026,1143,969.0,84.7769028871391,82.17591334030381,2.6009895468352937,EOC,About expected
Quinlan ISD,36240,2020-2024,Texas,68859.0,8176.0,QUINLAN ISD,116908,Spring 2026,1124,930.0,82.74021352313167,80.20840536888959,2.5318081542420856,EOC,About expected
Sharyland ISD,39930,2020-2024,Texas,72238.0,6831.0,SHARYLAND ISD,108911,Spring 2026,2644,2201.0,83.24508320726173,80.74833953890573,2.496743668356004,EOC,About expected
Frisco ISD,20010,2020-2024,Texas,144206.0,2934.0,FRISCO ISD,043905,Spring 2026,27026,25605.0,94.7421001998076,92.24818634201942,2.493913857788172,EOC,About expected
La Vernia ISD,26310,2020-2024,Texas,115669.0,9735.0,LA VERNIA ISD,247903,Spring 2026,1444,1302.0,90.1662049861496,87.6882273571865,2.477977628963089,EOC,About expected
Grand Saline ISD,21450,2020-2024,Texas,58750.0,11882.0,GRAND SALINE ISD,234904,Spring 2026,500,405.0,81.0,78.59307700999847,2.406922990001533,EOC,About expected
Rio Hondo ISD,37170,2020-2024,Texas,54190.0,12463.0,RIO HONDO ISD,031911,Spring 2026,559,448.0,80.14311270125224,77.86442953581273,2.278683165439503,EOC,About expected
Bandera ISD,9360,2020-2024,Texas,75021.0,7414.0,BANDERA ISD,010902,Spring 2026,850,709.0,83.41176470588235,81.19303820571687,2.2187265001654737,EOC,About expected
Frenship ISD,19830,2020-2024,Texas,77793.0,3734.0,FRENSHIP ISD,152907,Spring 2026,4645,3894.0,83.83207750269106,81.63597917028768,2.1960983324033805,EOC,About expected
Copperas Cove ISD,15240,2020-2024,Texas,73120.0,3572.0,COPPERAS COVE ISD,050910,Spring 2026,3024,2507.0,82.90343915343915,80.88927530036007,2.014163853079083,EOC,About expected
Bowie ISD,10990,2020-2024,Texas,66461.0,6904.0,BOWIE ISD,169901,Spring 2026,572,468.0,81.81818181818183,79.82522628049104,1.99295553769079,EOC,About expected
Port Neches-Groves ISD,35430,2020-2024,Texas,81914.0,8598.0,PORT NECHES-GROVES ISD,123908,Spring 2026,2132,1797.0,84.28705440900562,82.29447834597175,1.9925760630338658,EOC,About expected
Alvarado ISD,11,2020-2024,Texas,80826.0,10732.0,ALVARADO ISD,126901,Spring 2026,1479,1244.0,84.1108857336038,82.12062561528884,1.99026011831495,EOC,About expected
New Braunfels ISD,32370,2020-2024,Texas,98942.0,6666.0,NEW BRAUNFELS ISD,046901,Spring 2026,4054,3527.0,87.0004933399112,85.0154014140495,1.9850919258616955,EOC,About expected
Lancaster ISD,26670,2020-2024,Texas,69151.0,7883.0,LANCASTER ISD,057913,Spring 2026,2600,2138.0,82.23076923076923,80.25506437381551,1.975704856953712,EOC,About expected
Lamesa ISD,26610,2020-2024,Texas,51358.0,12128.0,LAMESA ISD,058906,Spring 2026,565,448.0,79.29203539823008,77.41190110447633,1.8801342937537555,EOC,About expected
Winnsboro ISD,46200,2020-2024,Texas,60662.0,12105.0,WINNSBORO ISD,250907,Spring 2026,592,478.0,80.74324324324324,78.89859761759564,1.8446456256476012,EOC,About expected
Ferris ISD,19170,2020-2024,Texas,81786.0,20382.0,FERRIS ISD,070905,Spring 2026,1167,981.0,84.06169665809769,82.27402508353848,1.7876715745592122,EOC,About expected
Lake Dallas ISD,26430,2020-2024,Texas,105650.0,8013.0,LAKE DALLAS ISD,061912,Spring 2026,1572,1381.0,87.8498727735369,86.08728019844378,1.762592575093123,EOC,About expected
Weslaco ISD,44960,2020-2024,Texas,57881.0,3444.0,WESLACO ISD,108913,Spring 2026,6497,5210.0,80.19085731876251,78.45421853300999,1.7366387857525183,EOC,About expected
Round Rock ISD,38080,2020-2024,Texas,108174.0,2738.0,ROUND ROCK ISD,246909,Spring 2026,18461,16280.0,88.18590542224149,86.49059296705009,1.6953124551913987,EOC,About expected
Carrizo Springs CISD,12990,2020-2024,Texas,38808.0,8956.0,CARRIZO SPRINGS CISD,064903,Spring 2026,719,554.0,77.05146036161335,75.40652263933798,1.6449377222753725,EOC,About expected
Andrews ISD,8280,2020-2024,Texas,72242.0,9282.0,ANDREWS ISD,002901,Spring 2026,1615,1330.0,82.35294117647058,80.74897870335676,1.6039624731138247,EOC,About expected
Bay City ISD,9630,2020-2024,Texas,57915.0,6358.0,BAY CITY ISD,158901,Spring 2026,1298,1039.0,80.0462249614792,78.45965143084383,1.5865735306353628,EOC,About expected
La Feria ISD,26040,2020-2024,Texas,49870.0,6407.0,LA FERIA ISD,031905,Spring 2026,1097,864.0,78.7602552415679,77.1741319286894,1.5861233128784988,EOC,About expected
Corpus Christi ISD,15270,2020-2024,Texas,63920.0,1407.0,CORPUS CHRISTI ISD,178904,Spring 2026,12808,10359.0,80.8791380387258,79.41919706296781,1.4599409757579878,EOC,About expected
Cameron ISD,12640,2020-2024,Texas,64127.0,8610.0,CAMERON ISD,166901,Spring 2026,544,440.0,80.88235294117648,79.45227382330913,1.4300791178673506,EOC,About expected
Gladewater ISD,20760,2020-2024,Texas,62593.0,6403.0,GLADEWATER ISD,092901,Spring 2026,597,481.0,80.56951423785594,79.20715425633524,1.3623599815206973,EOC,About expected
Burnet CISD,12220,2020-2024,Texas,79893.0,6528.0,BURNET CISD,027903,Spring 2026,1314,1095.0,83.33333333333334,81.97154050708373,1.3617928262496122,EOC,About expected
Klein ISD,25740,2020-2024,Texas,95905.0,3629.0,KLEIN ISD,101915,Spring 2026,22118,18989.0,85.85315127950086,84.5301158045973,1.3230354749035627,EOC,About expected
Navarro ISD,32160,2020-2024,Texas,98125.0,12252.0,NAVARRO ISD,094903,Spring 2026,1114,960.0,86.17594254937163,84.88485207492457,1.29109047444706,EOC,About expected
Keller ISD,25260,2020-2024,Texas,122192.0,5501.0,KELLER ISD,220907,Spring 2026,12704,11434.0,90.00314861460957,88.73054478572017,1.2726038288894017,EOC,About expected
Friendswood ISD,19950,2020-2024,Texas,149590.0,9820.0,FRIENDSWOOD ISD,084911,Spring 2026,2526,2384.0,94.37846397466348,93.10850169311942,1.2699622815440534,EOC,About expected
Houston ISD,23640,2020-2024,Texas,67518.0,1067.0,HOUSTON ISD,101912,Spring 2026,64546,52446.0,81.25367954637002,79.99412548667839,1.259554059691638,EOC,About expected
Brenham ISD,11280,2020-2024,Texas,75639.0,6066.0,BRENHAM ISD,239901,Spring 2026,1944,1604.0,82.51028806584361,81.29178911340257,1.2184989524410383,EOC,About expected
Conroe ISD,15000,2020-2024,Texas,98985.0,3188.0,CONROE ISD,170902,Spring 2026,29058,25055.0,86.22410351710373,85.02227243189819,1.2018310852055407,EOC,About expected
Lyford CISD,28620,2020-2024,Texas,43954.0,18061.0,LYFORD CISD,245902,Spring 2026,571,442.0,77.40805604203153,76.22880770560108,1.1792483364304474,EOC,About expected
El Paso ISD,18300,2020-2024,Texas,54425.0,1950.0,EL PASO ISD,071902,Spring 2026,21963,17355.0,79.01925966398034,77.90198044731135,1.1172792166689902,EOC,About expected
Killeen ISD,25660,2020-2024,Texas,64887.0,2567.0,KILLEEN ISD,014906,Spring 2026,14711,11859.0,80.6131466249745,79.57371506900675,1.0394315559677523,EOC,About expected
Lamar CISD,26580,2020-2024,Texas,109349.0,5441.0,LAMAR CISD,079901,Spring 2026,18940,16607.0,87.68215417106653,86.67834752454313,1.003806646523401,EOC,About expected
United ISD,43650,2020-2024,Texas,74662.0,3113.0,UNITED ISD,240903,Spring 2026,9168,7530.0,82.13350785340315,81.13567319623603,0.9978346571671182,EOC,About expected
Birdville ISD,10230,2020-2024,Texas,79643.0,3395.0,BIRDVILLE ISD,220902,Spring 2026,8919,7392.0,82.87924655230407,81.93159272889373,0.9476538234103344,EOC,About expected
Aledo ISD,7780,2020-2024,Texas,156900.0,10109.0,ALEDO ISD,184907,Spring 2026,3110,2961.0,95.20900321543408,94.27657472739523,0.9324284880388518,EOC,About expected
Melissa ISD,30120,2020-2024,Texas,138846.0,7879.0,MELISSA ISD,043908,Spring 2026,2874,2653.0,92.31036882393876,91.39170597762568,0.918662846313083,EOC,About expected
Sulphur Springs ISD,41820,2020-2024,Texas,71546.0,6979.0,SULPHUR SPRINGS ISD,112901,Spring 2026,1599,1304.0,81.5509693558474,80.63776408887578,0.913205266971616,EOC,About expected
Central ISD,13500,2020-2024,Texas,82534.0,16849.0,CENTRAL ISD,003907,Spring 2026,539,449.0,83.30241187384044,82.39354883588297,0.9088630379574738,EOC,About expected
San Felipe-Del Rio CISD,38900,2020-2024,Texas,66104.0,5302.0,SAN FELIPE-DEL RIO CISD,233901,Spring 2026,3761,3034.0,80.67003456527519,79.7681808532357,0.9018537120394825,EOC,About expected
Alvin ISD,8090,2020-2024,Texas,107257.0,7261.0,ALVIN ISD,020901,Spring 2026,12236,10675.0,87.24256292906179,86.34406451664915,0.8984984124126356,EOC,About expected
Navasota ISD,32190,2020-2024,Texas,68088.0,5637.0,NAVASOTA ISD,093904,Spring 2026,1260,1020.0,80.95238095238095,80.08520642095161,0.8671745314293418,EOC,About expected
Coppell ISD,15210,2020-2024,Texas,160589.0,10919.0,COPPELL ISD,057922,Spring 2026,5488,5252.0,95.69970845481048,94.86604414236697,0.8336643124435028,EOC,About expected
Abilene ISD,7440,2020-2024,Texas,58822.0,1489.0,ABILENE ISD,221901,Spring 2026,5147,4087.0,79.40547891975909,78.60458197011718,0.8008969496419098,EOC,About expected
North Lamar ISD,33010,2020-2024,Texas,81750.0,12935.0,NORTH LAMAR ISD,139911,Spring 2026,908,754.0,83.03964757709251,82.2682726034791,0.7713749736134048,EOC,About expected
Smithville ISD,40550,2020-2024,Texas,72758.0,8078.0,SMITHVILLE ISD,011904,Spring 2026,695,567.0,81.58273381294964,80.83143091754093,0.7513028954087133,EOC,About expected
Mansfield ISD,28920,2020-2024,Texas,113158.0,3716.0,MANSFIELD ISD,220908,Spring 2026,14997,13200.0,88.01760352070414,87.28699187304608,0.7306116476580655,EOC,About expected
Pasadena ISD,34320,2020-2024,Texas,63162.0,2316.0,PASADENA ISD,101917,Spring 2026,18865,15074.0,79.90458521070765,79.2980753994957,0.60650981121195,EOC,About expected
Spring Branch ISD,41100,2020-2024,Texas,87141.0,3816.0,SPRING BRANCH ISD,101920,Spring 2026,12272,10272.0,83.70273794002607,83.12970649236843,0.573031447657641,EOC,About expected
Medina Valley ISD,30060,2020-2024,Texas,99115.0,6604.0,MEDINA VALLEY ISD,163908,Spring 2026,3917,3352.0,85.57569568547358,85.043045276557,0.5326504089165809,EOC,About expected
Pampa ISD,34170,2020-2024,Texas,57351.0,6603.0,PAMPA ISD,090904,Spring 2026,1305,1028.0,78.77394636015326,78.36952924324719,0.4044171169060746,EOC,About expected
Lovejoy ISD,28380,2020-2024,Texas,181170.0,30114.0,LOVEJOY ISD,043919,Spring 2026,1857,1829.0,98.4921917070544,98.1547050340811,0.3374866729732986,EOC,About expected
Burleson ISD,12180,2020-2024,Texas,95274.0,6468.0,BURLESON ISD,126902,Spring 2026,5415,4588.0,84.72760849492151,84.42928761244573,0.29832088247577815,EOC,About expected
Kilgore ISD,25620,2020-2024,Texas,69261.0,11510.0,KILGORE ISD,092902,Spring 2026,1482,1194.0,80.5668016194332,80.27264139621911,0.2941602232140923,EOC,About expected
Stafford MSD,41350,2020-2024,Texas,84545.0,11868.0,STAFFORD MSD,079910,Spring 2026,1545,1282.0,82.97734627831716,82.71488876364339,0.26245751467376977,EOC,About expected
Bridge City ISD,11310,2020-2024,Texas,93152.0,11363.0,BRIDGE CITY ISD,181901,Spring 2026,1162,980.0,84.33734939759037,84.09021087116895,0.24713852642142342,EOC,About expected
Castleberry ISD,13170,2020-2024,Texas,61935.0,4622.0,CASTLEBERRY ISD,220917,Spring 2026,1534,1217.0,79.33507170795306,79.10201170413916,0.2330600038139039,EOC,About expected
Salado ISD,38580,2020-2024,Texas,114190.0,18097.0,SALADO ISD,014908,Spring 2026,1086,952.0,87.66114180478822,87.45189630141442,0.20924550337379344,EOC,About expected
Magnolia ISD,28740,2020-2024,Texas,107283.0,8534.0,MAGNOLIA ISD,170906,Spring 2026,5896,5102.0,86.53324287652646,86.34821908558091,0.1850237909455501,EOC,About expected
Anahuac ISD,8190,2020-2024,Texas,75500.0,16880.0,ANAHUAC ISD,036901,Spring 2026,576,469.0,81.42361111111111,81.26957814872893,0.154032962382189,EOC,About expected
Tyler ISD,43470,2020-2024,Texas,67521.0,3482.0,TYLER ISD,212905,Spring 2026,7253,5813.0,80.14614642217013,79.99460486001666,0.1515415621534686,EOC,About expected
Fort Bend ISD,19650,2020-2024,Texas,105638.0,3226.0,FORT BEND ISD,079907,Spring 2026,34630,29859.0,86.2229280970257,86.08536270509066,0.13756539193504125,EOC,About expected
Poteet ISD,35520,2020-2024,Texas,62625.0,26771.0,POTEET ISD,007906,Spring 2026,671,532.0,79.28464977645305,79.21226757194357,0.07238220450948063,EOC,About expected
Huntsville ISD,24030,2020-2024,Texas,50985.0,4069.0,HUNTSVILLE ISD,236902,Spring 2026,6790,5257.0,77.42268041237114,77.35229901941685,0.07038139295428891,EOC,About expected
Edinburg CISD,18180,2020-2024,Texas,58501.0,3250.0,EDINBURG CISD,108904,Spring 2026,12357,9714.0,78.61131342558873,78.55328902292122,0.058024402667513186,EOC,About expected
Robstown ISD,37440,2020-2024,Texas,41182.0,8362.0,ROBSTOWN ISD,178909,Spring 2026,927,703.0,75.83603020496224,75.78586674103029,0.050163463931951924,EOC,About expected
Progreso ISD,35910,2020-2024,Texas,39806.0,30179.0,PROGRESO ISD,108910,Spring 2026,652,493.0,75.61349693251533,75.56599416987248,0.047502762642849916,EOC,About expected
Waxahachie ISD,44730,2020-2024,Texas,89058.0,6296.0,WAXAHACHIE ISD,070912,Spring 2026,4671,3898.0,83.45108113894241,83.4360260555294,0.0150550834130172,EOC,About expected
Leander ISD,27030,2020-2024,Texas,133971.0,3764.0,LEANDER ISD,246913,Spring 2026,17085,15483.0,90.6233538191396,90.61272430292054,0.010629516219054835,EOC,About expected
Azle ISD,9200,2020-2024,Texas,91843.0,6447.0,AZLE ISD,220915,Spring 2026,2858,2397.0,83.86983904828551,83.88104430456607,-0.01120525628056157,EOC,About expected
Henderson ISD,22970,2020-2024,Texas,69754.0,6816.0,HENDERSON ISD,201902,Spring 2026,1243,998.0,80.28962188254224,80.35141841480981,-0.06179653226757864,EOC,About expected
McKinney ISD,29850,2020-2024,Texas,118747.0,5821.0,MCKINNEY ISD,043907,Spring 2026,9846,8669.0,88.04590696729636,88.18006440226188,-0.13415743496551613,EOC,About expected
Godley ISD,20960,2020-2024,Texas,92786.0,13470.0,GODLEY ISD,126911,Spring 2026,1256,1053.0,83.8375796178344,84.03172732389878,-0.1941477060643848,EOC,About expected
Mission CISD,31040,2020-2024,Texas,51194.0,3110.0,MISSION CISD,108908,Spring 2026,5238,4042.0,77.1668575792287,77.3856953619837,-0.21883778275498855,EOC,About expected
Plainview ISD,35070,2020-2024,Texas,47663.0,6076.0,PLAINVIEW ISD,095905,Spring 2026,1737,1328.0,76.45365572826712,76.82147294282802,-0.3678172145609011,EOC,About expected
Weatherford ISD,44800,2020-2024,Texas,82141.0,9304.0,WEATHERFORD ISD,184903,Spring 2026,3197,2620.0,81.95182984047544,82.33075092856828,-0.378921088092838,EOC,About expected
Midlothian ISD,30600,2020-2024,Texas,131167.0,8483.0,MIDLOTHIAN ISD,070908,Spring 2026,4830,4336.0,89.77225672877847,90.16467002274142,-0.3924132939629459,EOC,About expected
Jourdanton ISD,24960,2020-2024,Texas,77866.0,9472.0,JOURDANTON ISD,007902,Spring 2026,645,524.0,81.24031007751938,81.64764392151916,-0.4073338439997798,EOC,About expected
Beeville ISD,9720,2020-2024,Texas,58154.0,6184.0,BEEVILLE ISD,013901,Spring 2026,1150,898.0,78.08695652173913,78.49784150679349,-0.4108849850543663,EOC,About expected
Point Isabel ISD,35250,2020-2024,Texas,62596.0,4846.0,POINT ISABEL ISD,031909,Spring 2026,745,587.0,78.79194630872483,79.20763362967352,-0.41568732094869176,EOC,About expected
Decatur ISD,16500,2020-2024,Texas,94259.0,4907.0,DECATUR ISD,249905,Spring 2026,1480,1241.0,83.85135135135135,84.2670996329943,-0.41574828164294786,EOC,About expected
Commerce ISD,14820,2020-2024,Texas,56946.0,10069.0,COMMERCE ISD,116903,Spring 2026,549,427.0,77.77777777777779,78.30481384257936,-0.5270360648015782,EOC,About expected
Dallas ISD,16230,2020-2024,Texas,70951.0,944.0,DALLAS ISD,057905,Spring 2026,48711,38936.0,79.93266407998193,80.54268837678356,-0.6100242968016261,EOC,About expected
Sealy ISD,39630,2020-2024,Texas,70417.0,7909.0,SEALY ISD,008902,Spring 2026,1254,1001.0,79.82456140350878,80.45735992256971,-0.6327985190609269,EOC,About expected
Bellville ISD,9810,2020-2024,Texas,98899.0,7995.0,BELLVILLE ISD,008901,Spring 2026,1017,858.0,84.36578171091446,85.00853039620083,-0.6427486852863638,EOC,About expected
Sheldon ISD,39990,2020-2024,Texas,61538.0,5730.0,SHELDON ISD,101924,Spring 2026,4727,3704.0,78.35836682885551,79.03857463237343,-0.6802078035179164,EOC,About expected
Hays CISD,10,2020-2024,Texas,101693.0,4474.0,HAYS CISD,105906,Spring 2026,9747,8259.0,84.73376423514928,85.45498676525236,-0.721222530103077,EOC,About expected
Calhoun County ISD,12480,2020-2024,Texas,79959.0,8800.0,CALHOUN COUNTY ISD,029901,Spring 2026,1317,1070.0,81.2452543659833,81.9820867205259,-0.7368323545425994,EOC,About expected
Bridgeport ISD,11340,2020-2024,Texas,88929.0,16654.0,BRIDGEPORT ISD,249903,Spring 2026,874,722.0,82.6086956521739,83.41541300198335,-0.8067173498094462,EOC,About expected
Schertz-Cibolo-Universal City ISD,39480,2020-2024,Texas,105726.0,3973.0,SCHERTZ-CIBOLO-U CITY ISD,094902,Spring 2026,7162,6107.0,85.26947779949735,86.09942432301355,-0.8299465235161989,EOC,About expected
Livingston ISD,27780,2020-2024,Texas,63607.0,6529.0,LIVINGSTON ISD,187907,Spring 2026,1529,1200.0,78.48266841072596,79.36918244467392,-0.8865140339479609,EOC,About expected
Lake Travis ISD,26470,2020-2024,Texas,156087.0,14563.0,LAKE TRAVIS ISD,227913,Spring 2026,4211,3927.0,93.2557587271432,94.14666455272132,-0.8909058255781162,EOC,About expected
Humble ISD,23910,2020-2024,Texas,106433.0,4036.0,HUMBLE ISD,101913,Spring 2026,20798,17720.0,85.20050004808155,86.21239663973489,-1.0118965916533398,EOC,About expected
Sunnyvale ISD,41880,2020-2024,Texas,170348.0,12486.0,SUNNYVALE ISD,057919,Spring 2026,965,920.0,95.33678756476684,96.42544561179209,-1.0886580470252483,EOC,About expected
Big Spring ISD,10200,2020-2024,Texas,68718.0,4133.0,BIG SPRING ISD,114901,Spring 2026,1099,869.0,79.07188353048225,80.18587482199042,-1.1139912915081709,EOC,About expected
Liberty ISD,27450,2020-2024,Texas,49397.0,12461.0,LIBERTY ISD,146906,Spring 2026,1103,837.0,75.8839528558477,77.09855073235391,-1.2145978765062182,EOC,About expected
Rockport-Fulton ISD,8550,2020-2024,Texas,75017.0,11582.0,ROCKPORT-FULTON ISD,004901,Spring 2026,1172,937.0,79.94880546075085,81.19239904126584,-1.2435935805149967,EOC,About expected
London ISD,27990,2020-2024,Texas,179913.0,30981.0,LONDON ISD,178906,Spring 2026,806,777.0,96.40198511166254,97.95384760534175,-1.5518624936792094,EOC,About expected
Angleton ISD,8310,2020-2024,Texas,86569.0,9989.0,ANGLETON ISD,020902,Spring 2026,3085,2512.0,81.42625607779578,83.03830597586969,-1.6120498980739058,EOC,About expected
Brownfield ISD,11610,2020-2024,Texas,42971.0,2708.0,BROWNFIELD ISD,223901,Spring 2026,610,454.0,74.42622950819671,76.07173304175798,-1.6455035335612678,EOC,About expected
Rio Grande City Grulla ISD,37140,2020-2024,Texas,42795.0,3412.0,RIO GRANDE CITY GRULLA ISD,214901,Spring 2026,3744,2784.0,74.35897435897436,76.04360980591221,-1.6846354469378468,EOC,About expected
Cleburne ISD,14310,2020-2024,Texas,72354.0,7731.0,CLEBURNE ISD,126903,Spring 2026,2708,2139.0,78.98818316100443,80.76687530798588,-1.7786921469814558,EOC,About expected
San Marcos CISD,38970,2020-2024,Texas,51780.0,2288.0,SAN MARCOS CISD,105902,Spring 2026,3015,2281.0,75.65505804311773,77.47933295406106,-1.8242749109433305,EOC,About expected
Northwest ISD,33180,2020-2024,Texas,127922.0,6842.0,NORTHWEST ISD,061911,Spring 2026,12265,10771.0,87.8189971463514,89.64614786183513,-1.8271507154837252,EOC,About expected
La Joya ISD,26130,2020-2024,Texas,46719.0,3503.0,LA JOYA ISD,108912,Spring 2026,8996,6730.0,74.81102712316586,76.67063013238257,-1.8596030092167126,EOC,About expected
Denison ISD,16710,2020-2024,Texas,71506.0,3541.0,DENISON ISD,091903,Spring 2026,1789,1409.0,78.75908328675237,80.63137244436538,-1.872289157613011,EOC,About expected
Argyle ISD,8670,2020-2024,Texas,180095.0,14742.0,ARGYLE ISD,061910,Spring 2026,2293,2201.0,95.98778892280856,97.98292958786408,-1.9951406650555157,EOC,About expected
Goose Creek CISD,21150,2020-2024,Texas,66497.0,3398.0,GOOSE CREEK CISD,101911,Spring 2026,9650,7508.0,77.80310880829016,79.8309787605504,-2.0278699522602324,EOC,About expected
Graham ISD,21360,2020-2024,Texas,75442.0,8910.0,GRAHAM ISD,252901,Spring 2026,888,703.0,79.16666666666666,81.26031026418885,-2.0936435975221883,EOC,About expected
Connally ISD,14970,2020-2024,Texas,56875.0,6972.0,CONNALLY ISD,161921,Spring 2026,743,566.0,76.17765814266487,78.29346867357341,-2.115810530908547,EOC,About expected
La Porte ISD,26190,2020-2024,Texas,90696.0,6916.0,LA PORTE ISD,101916,Spring 2026,2871,2342.0,81.57436433298503,83.69776389823032,-2.1233995652452933,EOC,About expected
Monahans-Wickett-Pyote ISD,31170,2020-2024,Texas,66026.0,19741.0,MONAHANS-WICKETT-PYOTE ISD,238902,Spring 2026,832,645.0,77.52403846153845,79.75571714644043,-2.231678684901979,EOC,About expected
Columbus ISD,14700,2020-2024,Texas,69875.0,17972.0,COLUMBUS ISD,045902,Spring 2026,670,523.0,78.05970149253731,80.37075313945377,-2.3110516469164537,EOC,About expected
Wichita Falls ISD,45780,2020-2024,Texas,58684.0,2996.0,WICHITA FALLS ISD,243905,Spring 2026,4783,3645.0,76.20740121262806,78.5825307965563,-2.375129583928242,EOC,About expected
Canutillo ISD,12780,2020-2024,Texas,81353.0,9999.0,CANUTILLO ISD,071907,Spring 2026,2120,1692.0,79.81132075471699,82.20483553171337,-2.3935147769963834,EOC,About expected
Prosper ISD,36000,2020-2024,Texas,174840.0,7313.0,PROSPER ISD,043912,Spring 2026,12739,12070.0,94.74841039328048,97.14322729031014,-2.3948168970296564,EOC,About expected
Pleasanton ISD,35190,2020-2024,Texas,66925.0,8049.0,PLEASANTON ISD,007905,Spring 2026,1305,1011.0,77.47126436781609,79.89936935681169,-2.4281049889955995,EOC,About expected
Mesquite ISD,30390,2020-2024,Texas,71595.0,3110.0,MESQUITE ISD,057914,Spring 2026,15906,12436.0,78.18433295611719,80.64559385340102,-2.461260897283836,EOC,About expected
Dripping Springs ISD,8,2020-2024,Texas,169874.0,15997.0,DRIPPING SPRINGS ISD,105904,Spring 2026,3356,3149.0,93.83194278903456,96.34970462434383,-2.5177618353092726,EOC,About expected
Aldine ISD,7710,2020-2024,Texas,52455.0,1482.0,ALDINE ISD,101902,Spring 2026,21718,16284.0,74.97927986002394,77.58719195517409,-2.607912095150155,EOC,About expected
Gainesville ISD,20220,2020-2024,Texas,59464.0,3576.0,GAINESVILLE ISD,049901,Spring 2026,1237,940.0,75.99029911075182,78.70716786450912,-2.7168687537572964,EOC,About expected
Willis ISD,45900,2020-2024,Texas,85618.0,6260.0,WILLIS ISD,170904,Spring 2026,3795,3040.0,80.10540184453228,82.8863446276349,-2.780942783102617,EOC,About expected
Hereford ISD,23010,2020-2024,Texas,60504.0,6568.0,HEREFORD ISD,059901,Spring 2026,1596,1212.0,75.93984962406014,78.87335062177955,-2.933500997719406,EOC,About expected
Plano ISD,35100,2020-2024,Texas,105159.0,2320.0,PLANO ISD,043910,Spring 2026,18201,15116.0,83.05038184715126,86.00882276207861,-2.958440914927351,EOC,About expected
Southside ISD,40920,2020-2024,Texas,63269.0,6564.0,SOUTHSIDE ISD,015917,Spring 2026,2364,1805.0,76.35363790186125,79.31517304856104,-2.961535146699788,EOC,About expected
Galveston ISD,20280,2020-2024,Texas,56708.0,3726.0,GALVESTON ISD,084902,Spring 2026,2720,2048.0,75.29411764705883,78.26678355774249,-2.9726659106836593,EOC,About expected
Richardson ISD,37020,2020-2024,Texas,78676.0,2509.0,RICHARDSON ISD,057916,Spring 2026,14050,11068.0,78.77580071174377,81.77707472285478,-3.0012740111110077,EOC,About expected
South San Antonio ISD,40680,2020-2024,Texas,52309.0,3979.0,SOUTH SAN ANTONIO ISD,015908,Spring 2026,2710,2020.0,74.53874538745387,77.56386245271112,-3.0251170652572483,EOC,About expected
Mexia ISD,30420,2020-2024,Texas,53498.0,5218.0,MEXIA ISD,147903,Spring 2026,680,508.0,74.70588235294117,77.75385408578279,-3.047971732841617,EOC,About expected
Rockdale ISD,37590,2020-2024,Texas,69555.0,12273.0,ROCKDALE ISD,166904,Spring 2026,536,414.0,77.23880597014924,80.31961998337056,-3.080814013221314,EOC,About expected
