income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Buna ISD,12090,2020-2024,Texas,55048.0,27372.0,BUNA ISD,121903,Spring 2026,530,457.0,86.22641509433963,78.00153031056084,8.22488478377879,EOC,Over expected
Spring Hill ISD,41190,2020-2024,Texas,90098.0,11861.0,SPRING HILL ISD,092907,Spring 2026,734,674.0,91.82561307901908,83.60220881279983,8.223404266219248,EOC,Over expected
Pleasant Grove ISD,35130,2020-2024,Texas,93968.0,11512.0,PLEASANT GROVE ISD,019912,Spring 2026,978,904.0,92.43353783231083,84.22060041918114,8.212937413129694,EOC,Over expected
Van ISD,43920,2020-2024,Texas,68605.0,7115.0,VAN ISD,234906,Spring 2026,797,704.0,88.33124215809285,80.16781842624854,8.163423731844304,EOC,Over expected
Madisonville CISD,28710,2020-2024,Texas,69704.0,6467.0,MADISONVILLE CISD,154901,Spring 2026,887,785.0,88.50056369785794,80.34342885917181,8.157134838686133,EOC,Over expected
Lindale ISD,27510,2020-2024,Texas,92838.0,11899.0,LINDALE ISD,212903,Spring 2026,1645,1516.0,92.1580547112462,84.0400364617623,8.118018249483896,EOC,Over expected
Giddings ISD,20640,2020-2024,Texas,72518.0,15025.0,GIDDINGS ISD,144901,Spring 2026,733,650.0,88.67667121418826,80.79308105047853,7.8835901637097265,EOC,Over expected
Bullard ISD,12060,2020-2024,Texas,91949.0,13990.0,BULLARD ISD,212902,Spring 2026,1204,1105.0,91.77740863787376,83.89798216251863,7.879426475355132,EOC,Over expected
McAllen ISD,29670,2020-2024,Texas,58719.0,2738.0,MCALLEN ISD,108906,Spring 2026,8006,6921.0,86.44766425181115,78.5881234855029,7.859540766308243,EOC,Over expected
Dumas ISD,17610,2020-2024,Texas,61618.0,4735.0,DUMAS ISD,171901,Spring 2026,1454,1263.0,86.86382393397524,79.05135792139423,7.812466012581012,EOC,Over expected
Brownsville ISD,11680,2020-2024,Texas,48874.0,1923.0,BROWNSVILLE ISD,031901,Spring 2026,13443,11400.0,84.80249944208882,77.01497998038042,7.787519461708399,EOC,Over expected
Lorena ISD,28200,2020-2024,Texas,104000.0,13129.0,LORENA ISD,161907,Spring 2026,673,630.0,93.61069836552748,85.82362486238974,7.787073503137748,EOC,Over expected
China Spring ISD,13960,2020-2024,Texas,104931.0,9325.0,CHINA SPRING ISD,161920,Spring 2026,1211,1134.0,93.64161849710982,85.97239038836932,7.669228108740498,EOC,Over expected
Gatesville ISD,20500,2020-2024,Texas,70998.0,5747.0,GATESVILLE ISD,050902,Spring 2026,908,801.0,88.21585903083701,80.55019855908328,7.665660471753725,EOC,Over expected
Mabank ISD,28680,2020-2024,Texas,62913.0,4658.0,MABANK ISD,129905,Spring 2026,1474,1280.0,86.83853459972863,79.25828741241845,7.580247187310178,EOC,Over expected
Orange Grove ISD,33720,2020-2024,Texas,64638.0,15844.0,ORANGE GROVE ISD,125903,Spring 2026,636,554.0,87.10691823899371,79.5339270819295,7.572991157064209,EOC,Over expected
