income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,is_sa_area
Avinger ISD,9090,2020-2024,Texas,34345.0,13666.0,AVINGER ISD,034902,Spring 2026,140.0,107.0,76.42857142857142,False
Axtell ISD,9150,2020-2024,Texas,84769.0,11677.0,AXTELL ISD,161918,Spring 2026,1158.0,893.0,77.11571675302245,False
Azle ISD,9200,2020-2024,Texas,91843.0,6447.0,AZLE ISD,220915,Spring 2026,9665.0,7115.0,73.6161407139162,False
Baird ISD,9280,2020-2024,Texas,59219.0,15293.0,BAIRD ISD,030903,Spring 2026,395.0,286.0,72.40506329113924,False
Ballinger ISD,9300,2020-2024,Texas,62083.0,5656.0,BALLINGER ISD,200901,Spring 2026,1036.0,693.0,66.8918918918919,False
Balmorhea ISD,9330,2020-2024,Texas,,,BALMORHEA ISD,195902,Spring 2026,190.0,131.0,68.94736842105263,False
Bandera ISD,9360,2020-2024,Texas,75021.0,7414.0,BANDERA ISD,010902,Spring 2026,2939.0,2146.0,73.01803334467506,False
Bangs ISD,9390,2020-2024,Texas,60833.0,9682.0,BANGS ISD,025901,Spring 2026,1060.0,786.0,74.15094339622641,False
Banquete ISD,9410,2020-2024,Texas,84896.0,23271.0,BANQUETE ISD,178913,Spring 2026,950.0,696.0,73.26315789473684,False
Barbers Hill ISD,9450,2020-2024,Texas,128353.0,14741.0,BARBERS HILL ISD,036902,Spring 2026,10700.0,9732.0,90.9532710280374,False
Bartlett ISD,9540,2020-2024,Texas,72571.0,12754.0,BARTLETT ISD,014902,Spring 2026,536.0,302.0,56.343283582089555,False
Bastrop ISD,9570,2020-2024,Texas,87946.0,6824.0,BASTROP ISD,011901,Spring 2026,17652.0,10793.0,61.14321323362791,False
Bay City ISD,9630,2020-2024,Texas,57915.0,6358.0,BAY CITY ISD,158901,Spring 2026,4323.0,2926.0,67.68447837150127,False
Beaumont ISD,9670,2020-2024,Texas,57493.0,2819.0,BEAUMONT ISD,123910,Spring 2026,19543.0,11025.0,56.414061300721485,False
Beckville ISD,9690,2020-2024,Texas,88750.0,28284.0,BECKVILLE ISD,183901,Spring 2026,852.0,701.0,82.27699530516432,False
Beeville ISD,9720,2020-2024,Texas,58154.0,6184.0,BEEVILLE ISD,013901,Spring 2026,3834.0,2563.0,66.84924360980699,False
Bellevue ISD,9750,2020-2024,Texas,71304.0,12944.0,BELLEVUE ISD,039904,Spring 2026,264.0,222.0,84.0909090909091,False
Bells ISD,9780,2020-2024,Texas,92926.0,9909.0,BELLS ISD,091901,Spring 2026,1371.0,1216.0,88.6943836615609,False
Bellville ISD,9810,2020-2024,Texas,98899.0,7995.0,BELLVILLE ISD,008901,Spring 2026,3184.0,2378.0,74.6859296482412,False
Belton ISD,9860,2020-2024,Texas,85617.0,4383.0,BELTON ISD,014903,Spring 2026,18465.0,13695.0,74.16734362307066,False
Ben Bolt-Palito Blanco ISD,9870,2020-2024,Texas,61161.0,15609.0,BEN BOLT-PALITO BLANCO ISD,125902,Spring 2026,602.0,463.0,76.91029900332225,False
Benavides ISD,99130,2020-2024,Texas,45565.0,21037.0,BENAVIDES ISD,066901,Spring 2026,197.0,136.0,69.03553299492386,False
Benjamin ISD,9980,2020-2024,Texas,52708.0,29460.0,BENJAMIN ISD,138904,Spring 2026,125.0,99.0,79.2,False
Big Sandy ISD (Upshur and Wood Counties),10140,2020-2024,Texas,72083.0,23069.0,BIG SANDY ISD,230901,Spring 2026,874.0,610.0,69.79405034324942,False
Big Sandy ISD (Polk County),10170,2020-2024,Texas,67841.0,41973.0,BIG SANDY ISD,187901,Spring 2026,695.0,600.0,86.33093525179856,False
Big Spring ISD,10200,2020-2024,Texas,68718.0,4133.0,BIG SPRING ISD,114901,Spring 2026,3767.0,2664.0,70.7194053623573,False
Birdville ISD,10230,2020-2024,Texas,79643.0,3395.0,BIRDVILLE ISD,220902,Spring 2026,28469.0,21417.0,75.22919667006217,False
Bishop CISD,10260,2020-2024,Texas,66813.0,13392.0,BISHOP CISD,178902,Spring 2026,1995.0,1683.0,84.3609022556391,False
Blackwell CISD,5,2020-2024,Texas,63942.0,9982.0,BLACKWELL CISD,177903,Spring 2026,233.0,216.0,92.7038626609442,False
Blanco ISD,10320,2020-2024,Texas,101591.0,14256.0,BLANCO ISD,016902,Spring 2026,1473.0,1161.0,78.81873727087576,False
Bland ISD,10350,2020-2024,Texas,102855.0,19382.0,BLAND ISD,116915,Spring 2026,1029.0,838.0,81.4382896015549,False
Blanket ISD,10380,2020-2024,Texas,62917.0,10909.0,BLANKET ISD,025904,Spring 2026,176.0,121.0,68.75,False
Bloomburg ISD,10440,2020-2024,Texas,79732.0,22025.0,BLOOMBURG ISD,034909,Spring 2026,257.0,179.0,69.64980544747081,False
Blooming Grove ISD,10470,2020-2024,Texas,66750.0,15651.0,BLOOMING GROVE ISD,175902,Spring 2026,1330.0,1000.0,75.18796992481202,False
Bloomington ISD,10500,2020-2024,Texas,52775.0,18041.0,BLOOMINGTON ISD,235901,Spring 2026,993.0,549.0,55.2870090634441,False
Blue Ridge ISD,10590,2020-2024,Texas,96875.0,27202.0,BLUE RIDGE ISD,043917,Spring 2026,1433.0,1065.0,74.31960921144453,False
Bluff Dale ISD,10620,2020-2024,Texas,118417.0,7836.0,BLUFF DALE ISD,072904,Spring 2026,326.0,274.0,84.04907975460122,False
Blum ISD,10650,2020-2024,Texas,71500.0,8956.0,BLUM ISD,109913,Spring 2026,471.0,378.0,80.2547770700637,False
Boerne ISD,10710,2020-2024,Texas,136279.0,10659.0,BOERNE ISD,130901,Spring 2026,15251.0,13505.0,88.55157038882696,True
Boles ISD,10740,2020-2024,Texas,56250.0,18799.0,BOLES ISD,116916,Spring 2026,721.0,546.0,75.72815533980582,False
Boling ISD,10780,2020-2024,Texas,67866.0,8005.0,BOLING ISD,241901,Spring 2026,1509.0,1145.0,75.8780649436713,False
Bonham ISD,10800,2020-2024,Texas,68559.0,8485.0,BONHAM ISD,074903,Spring 2026,2418.0,1562.0,64.59884201819686,False
Booker ISD,10830,2020-2024,Texas,70714.0,6681.0,BOOKER ISD,148901,Spring 2026,412.0,343.0,83.25242718446601,False
Borden County ISD,10860,2020-2024,Texas,66667.0,23346.0,BORDEN COUNTY ISD,017901,Spring 2026,286.0,255.0,89.16083916083916,False
Borger ISD,10890,2020-2024,Texas,65614.0,9997.0,BORGER ISD,117901,Spring 2026,2877.0,2053.0,71.3590545707334,False
Bosqueville ISD,10910,2020-2024,Texas,81042.0,5991.0,BOSQUEVILLE ISD,161923,Spring 2026,1012.0,782.0,77.27272727272727,False
Bovina ISD,10950,2020-2024,Texas,59125.0,23908.0,BOVINA ISD,185901,Spring 2026,494.0,307.0,62.145748987854255,False
Bowie ISD,10990,2020-2024,Texas,66461.0,6904.0,BOWIE ISD,169901,Spring 2026,1969.0,1505.0,76.43473844591163,False
Boyd ISD,11010,2020-2024,Texas,73988.0,16846.0,BOYD ISD,249902,Spring 2026,1944.0,1443.0,74.22839506172839,False
Boys Ranch ISD,11040,2020-2024,Texas,,,BOYS RANCH ISD,180901,Spring 2026,347.0,218.0,62.824207492795395,False
Brackett ISD,11070,2020-2024,Texas,70000.0,8852.0,BRACKETT ISD,136901,Spring 2026,621.0,479.0,77.13365539452496,False
Brady ISD,11110,2020-2024,Texas,54492.0,18088.0,BRADY ISD,160901,Spring 2026,1059.0,818.0,77.24268177525968,False
Brazos ISD,44470,2020-2024,Texas,44768.0,18086.0,BRAZOS ISD,008903,Spring 2026,1118.0,938.0,83.89982110912342,False
Brazosport ISD,11190,2020-2024,Texas,80703.0,5263.0,BRAZOSPORT ISD,020905,Spring 2026,14230.0,10411.0,73.16233309908644,False
Breckenridge ISD,11220,2020-2024,Texas,57852.0,10314.0,BRECKENRIDGE ISD,215901,Spring 2026,1645.0,1248.0,75.86626139817629,False
Bremond ISD,11250,2020-2024,Texas,72500.0,17954.0,BREMOND ISD,198901,Spring 2026,654.0,570.0,87.1559633027523,False
Brenham ISD,11280,2020-2024,Texas,75639.0,6066.0,BRENHAM ISD,239901,Spring 2026,6315.0,4444.0,70.37212984956453,False
Bridge City ISD,11310,2020-2024,Texas,93152.0,11363.0,BRIDGE CITY ISD,181901,Spring 2026,4121.0,3108.0,75.41858772142683,False
Bridgeport ISD,11340,2020-2024,Texas,88929.0,16654.0,BRIDGEPORT ISD,249903,Spring 2026,2772.0,1794.0,64.71861471861472,False
Broaddus ISD,11430,2020-2024,Texas,60134.0,10052.0,BROADDUS ISD,203902,Spring 2026,431.0,387.0,89.79118329466357,False
Brock ISD,11460,2020-2024,Texas,142130.0,28797.0,BROCK ISD,184909,Spring 2026,3029.0,2708.0,89.40244305051172,False
Bronte ISD,11490,2020-2024,Texas,61563.0,10483.0,BRONTE ISD,041901,Spring 2026,255.0,196.0,76.86274509803923,False
Brookeland ISD,11520,2020-2024,Texas,69830.0,16087.0,BROOKELAND ISD,121902,Spring 2026,487.0,419.0,86.0369609856263,False
Brookesmith ISD,11550,2020-2024,Texas,53487.0,25578.0,BROOKESMITH ISD,025908,Spring 2026,345.0,197.0,57.10144927536231,False
Brooks County ISD,11580,2020-2024,Texas,47764.0,16489.0,BROOKS COUNTY ISD,024901,Spring 2026,1482.0,910.0,61.40350877192983,False
Brownfield ISD,11610,2020-2024,Texas,42971.0,2708.0,BROWNFIELD ISD,223901,Spring 2026,2039.0,1198.0,58.75429131927415,False
Brownsboro ISD,11640,2020-2024,Texas,63112.0,4510.0,BROWNSBORO ISD,107902,Spring 2026,3417.0,2640.0,77.26075504828798,False
Brownsville ISD,11680,2020-2024,Texas,48874.0,1923.0,BROWNSVILLE ISD,031901,Spring 2026,41019.0,31463.0,76.703478875643,False
Brownwood ISD,11700,2020-2024,Texas,51765.0,8092.0,BROWNWOOD ISD,025902,Spring 2026,4128.0,3125.0,75.70251937984496,False
Bruceville-Eddy ISD,11730,2020-2024,Texas,63103.0,24421.0,BRUCEVILLE-EDDY ISD,161919,Spring 2026,665.0,450.0,67.66917293233082,False
Bryan ISD,11790,2020-2024,Texas,61113.0,1838.0,BRYAN ISD,021902,Spring 2026,20455.0,13162.0,64.3461256416524,False
Bryson ISD,11820,2020-2024,Texas,70568.0,27386.0,BRYSON ISD,119901,Spring 2026,349.0,285.0,81.66189111747852,False
Buckholts ISD,11850,2020-2024,Texas,55208.0,17337.0,BUCKHOLTS ISD,166907,Spring 2026,151.0,76.0,50.331125827814574,False
Buena Vista ISD,11910,2020-2024,Texas,76250.0,30004.0,BUENA VISTA ISD,186901,Spring 2026,317.0,184.0,58.0441640378549,False
Buffalo ISD,11990,2020-2024,Texas,46944.0,8666.0,BUFFALO ISD,145901,Spring 2026,1219.0,968.0,79.40935192780968,False
Bullard ISD,12060,2020-2024,Texas,91949.0,13990.0,BULLARD ISD,212902,Spring 2026,3992.0,3373.0,84.4939879759519,False
Buna ISD,12090,2020-2024,Texas,55048.0,27372.0,BUNA ISD,121903,Spring 2026,1807.0,1387.0,76.75705589374654,False
Burkburnett ISD,12120,2020-2024,Texas,81172.0,10068.0,BURKBURNETT ISD,243901,Spring 2026,4143.0,3129.0,75.52498189717596,False
Burkeville ISD,12150,2020-2024,Texas,42381.0,25372.0,BURKEVILLE ISD,176901,Spring 2026,354.0,232.0,65.5367231638418,False
Burleson ISD,12180,2020-2024,Texas,95274.0,6468.0,BURLESON ISD,126902,Spring 2026,17441.0,13513.0,77.47835559887622,False
Burnet CISD,12220,2020-2024,Texas,79893.0,6528.0,BURNET CISD,027903,Spring 2026,4378.0,2853.0,65.16674280493376,False
Burton ISD,12240,2020-2024,Texas,101392.0,17888.0,BURTON ISD,239903,Spring 2026,811.0,707.0,87.17632552404439,False
Bushland ISD,35570,2020-2024,Texas,114535.0,12663.0,BUSHLAND ISD,188904,Spring 2026,2048.0,1758.0,85.83984375,False
Bynum ISD,12360,2020-2024,Texas,85250.0,24459.0,BYNUM ISD,109902,Spring 2026,244.0,188.0,77.04918032786885,False
Caddo Mills ISD,12390,2020-2024,Texas,107083.0,13870.0,CADDO MILLS ISD,116901,Spring 2026,4445.0,3703.0,83.30708661417323,False
Calallen ISD,12420,2020-2024,Texas,83444.0,10250.0,CALALLEN ISD,178903,Spring 2026,4989.0,4063.0,81.43916616556423,False
Caldwell ISD,12460,2020-2024,Texas,69147.0,10079.0,CALDWELL ISD,026901,Spring 2026,2454.0,1839.0,74.93887530562347,False
Calhoun County ISD,12480,2020-2024,Texas,79959.0,8800.0,CALHOUN COUNTY ISD,029901,Spring 2026,4399.0,3312.0,75.28983859968174,False
Callisburg ISD,12510,2020-2024,Texas,110189.0,21571.0,CALLISBURG ISD,049905,Spring 2026,1573.0,1177.0,74.82517482517483,False
Calvert ISD,12540,2020-2024,Texas,56726.0,23612.0,CALVERT ISD,198902,Spring 2026,190.0,87.0,45.78947368421053,False
Cameron ISD,12640,2020-2024,Texas,64127.0,8610.0,CAMERON ISD,166901,Spring 2026,1741.0,1156.0,66.39862148190694,False
Campbell ISD,12660,2020-2024,Texas,59846.0,7897.0,CAMPBELL ISD,116910,Spring 2026,403.0,296.0,73.44913151364764,False
Canadian ISD,12700,2020-2024,Texas,61648.0,22191.0,CANADIAN ISD,106901,Spring 2026,886.0,796.0,89.84198645598194,False
Canton ISD,12750,2020-2024,Texas,65671.0,11665.0,CANTON ISD,234902,Spring 2026,3076.0,2635.0,85.6631989596879,False
Canutillo ISD,12780,2020-2024,Texas,81353.0,9999.0,CANUTILLO ISD,071907,Spring 2026,7378.0,5460.0,74.00379506641366,False
Canyon ISD,12810,2020-2024,Texas,94955.0,3167.0,CANYON ISD,191901,Spring 2026,15600.0,12809.0,82.10897435897436,False
Carlisle ISD,12870,2020-2024,Texas,54858.0,13322.0,CARLISLE ISD,201913,Spring 2026,795.0,573.0,72.0754716981132,False
Carrizo Springs CISD,12990,2020-2024,Texas,38808.0,8956.0,CARRIZO SPRINGS CISD,064903,Spring 2026,2432.0,1600.0,65.78947368421053,False
Carroll ISD,13020,2020-2024,Texas,250001.0,,CARROLL ISD,220919,Spring 2026,10598.0,10138.0,95.65955840724664,False
Carrollton-Farmers Branch ISD,13050,2020-2024,Texas,87139.0,2698.0,CARROLLTON-FARMERS BRANCH ISD,057903,Spring 2026,29183.0,20325.0,69.6467121269232,False
Carthage ISD,13110,2020-2024,Texas,63860.0,13270.0,CARTHAGE ISD,183902,Spring 2026,3336.0,2550.0,76.43884892086331,False
Castleberry ISD,13170,2020-2024,Texas,61935.0,4622.0,CASTLEBERRY ISD,220917,Spring 2026,4911.0,3588.0,73.06047648136835,False
Cayuga ISD,13200,2020-2024,Texas,73966.0,10601.0,CAYUGA ISD,001902,Spring 2026,780.0,655.0,83.97435897435898,False
Cedar Hill ISD,13230,2020-2024,Texas,99737.0,7236.0,CEDAR HILL ISD,057904,Spring 2026,7564.0,5067.0,66.988365943945,False
Celeste ISD,13260,2020-2024,Texas,77132.0,10214.0,CELESTE ISD,116902,Spring 2026,592.0,491.0,82.9391891891892,False
Celina ISD,13290,2020-2024,Texas,156852.0,19956.0,CELINA ISD,043903,Spring 2026,8374.0,6976.0,83.30546930976833,False
Center ISD,13320,2020-2024,Texas,51453.0,6111.0,CENTER ISD,210901,Spring 2026,2863.0,1881.0,65.70031435557108,False
Center Point ISD,13350,2020-2024,Texas,81892.0,18390.0,CENTER POINT ISD,133901,Spring 2026,640.0,466.0,72.8125,False
Centerville ISD (Trinity County),13380,2020-2024,Texas,76771.0,17234.0,CENTERVILLE ISD,228904,Spring 2026,195.0,143.0,73.33333333333333,False
Centerville ISD (Leon County),13410,2020-2024,Texas,72083.0,9527.0,CENTERVILLE ISD,145902,Spring 2026,863.0,637.0,73.81228273464659,False
Central Heights ISD,13440,2020-2024,Texas,63283.0,10030.0,CENTRAL HEIGHTS ISD,174908,Spring 2026,1519.0,1361.0,89.59842001316656,False
Central ISD,13500,2020-2024,Texas,82534.0,16849.0,CENTRAL ISD,003907,Spring 2026,1980.0,1398.0,70.60606060606061,False
Channelview ISD,13590,2020-2024,Texas,64681.0,7334.0,CHANNELVIEW ISD,101905,Spring 2026,12359.0,8463.0,68.47641394934865,False
Channing ISD,13620,2020-2024,Texas,71875.0,35786.0,CHANNING ISD,103901,Spring 2026,154.0,92.0,59.74025974025974,False
Chapel Hill ISD (Smith County),13650,2020-2024,Texas,72968.0,8386.0,CHAPEL HILL ISD,212909,Spring 2026,4231.0,2746.0,64.90191444103048,False
Chapel Hill ISD (Titus County),13680,2020-2024,Texas,107895.0,28910.0,CHAPEL HILL ISD,225906,Spring 2026,1258.0,1019.0,81.00158982511924,False
Charlotte ISD,13710,2020-2024,Texas,39464.0,20212.0,CHARLOTTE ISD,007901,Spring 2026,545.0,405.0,74.31192660550458,False
Cherokee ISD,13740,2020-2024,Texas,46058.0,11250.0,CHEROKEE ISD,206903,Spring 2026,182.0,141.0,77.47252747252747,False
Chester ISD,13770,2020-2024,Texas,69762.0,9422.0,CHESTER ISD,229906,Spring 2026,253.0,204.0,80.63241106719367,False
Chico ISD,13800,2020-2024,Texas,87253.0,8827.0,CHICO ISD,249904,Spring 2026,745.0,561.0,75.30201342281879,False
Childress ISD,13860,2020-2024,Texas,58750.0,16788.0,CHILDRESS ISD,038901,Spring 2026,1173.0,942.0,80.30690537084399,False
Chillicothe ISD,13890,2020-2024,Texas,79375.0,34701.0,CHILLICOTHE ISD,099902,Spring 2026,225.0,157.0,69.77777777777779,False
Chilton ISD,13920,2020-2024,Texas,67120.0,14757.0,CHILTON ISD,073901,Spring 2026,740.0,551.0,74.45945945945947,False
China Spring ISD,13960,2020-2024,Texas,104931.0,9325.0,CHINA SPRING ISD,161920,Spring 2026,4159.0,3427.0,82.39961529213753,False
Chireno ISD,13980,2020-2024,Texas,67226.0,12325.0,CHIRENO ISD,174901,Spring 2026,446.0,333.0,74.66367713004485,False
Chisum ISD,12,2020-2024,Texas,105000.0,31854.0,CHISUM ISD,139905,Spring 2026,1556.0,1309.0,84.12596401028277,False
Christoval ISD,14010,2020-2024,Texas,83676.0,26531.0,CHRISTOVAL ISD,226901,Spring 2026,872.0,793.0,90.94036697247708,False
Cisco ISD,14070,2020-2024,Texas,60956.0,5097.0,CISCO ISD,067902,Spring 2026,1111.0,886.0,79.74797479747974,False
City View ISD,14130,2020-2024,Texas,54332.0,11991.0,CITY VIEW ISD,243906,Spring 2026,1570.0,1175.0,74.84076433121018,False
Clarendon ISD,14160,2020-2024,Texas,58719.0,11233.0,CLARENDON ISD,065901,Spring 2026,476.0,369.0,77.52100840336135,False
Clarksville ISD,14190,2020-2024,Texas,39564.0,8200.0,CLARKSVILLE ISD,194904,Spring 2026,672.0,386.0,57.44047619047619,False
Claude ISD,14250,2020-2024,Texas,72188.0,12883.0,CLAUDE ISD,006902,Spring 2026,460.0,396.0,86.08695652173914,False
Clear Creek ISD,14280,2020-2024,Texas,102389.0,2875.0,CLEAR CREEK ISD,084910,Spring 2026,51627.0,43024.0,83.33623878978054,False
Cleburne ISD,14310,2020-2024,Texas,72354.0,7731.0,CLEBURNE ISD,126903,Spring 2026,8998.0,6178.0,68.65970215603467,False
Cleveland ISD,14370,2020-2024,Texas,57146.0,8091.0,CLEVELAND ISD,146901,Spring 2026,17072.0,8826.0,51.69868791002812,False
Clifton ISD,14400,2020-2024,Texas,74107.0,5334.0,CLIFTON ISD,018901,Spring 2026,1231.0,1000.0,81.23476848090982,False
Clint ISD,14430,2020-2024,Texas,55527.0,3786.0,CLINT ISD,071901,Spring 2026,13227.0,9611.0,72.66197928479625,False
