income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Wall ISD,44410,2020-2024,Texas,103732.0,10095.0,WALL ISD,226906,Spring 2026,1417.0,1277.0,90.11997177134792,76.02406537131914,14.095906400028781,Elementary/middle,Over expected
Ricardo ISD,36930,2020-2024,Texas,84345.0,10914.0,RICARDO ISD,137902,Spring 2026,896.0,773.0,86.27232142857143,72.21885760126735,14.053463827304085,Elementary/middle,Over expected
Hudson ISD,23790,2020-2024,Texas,61023.0,10338.0,HUDSON ISD,003902,Spring 2026,2657.0,2166.0,81.5205118554761,67.6413027648745,13.879209090601606,Elementary/middle,Over expected
Hallettsville ISD,22120,2020-2024,Texas,68403.0,11811.0,HALLETTSVILLE ISD,143901,Spring 2026,971.0,804.0,82.80123583934088,69.08982153224346,13.711414307097414,Elementary/middle,Over expected
Plemons-Stinnett-Phillips CISD,41580,2020-2024,Texas,48356.0,8504.0,PLEMONS-STINNETT-PHILLIPS CISD,117904,Spring 2026,509.0,401.0,78.7819253438114,65.15507143340257,13.626853910408826,Elementary/middle,Over expected
Idalou ISD,24120,2020-2024,Texas,64405.0,14933.0,IDALOU ISD,152910,Spring 2026,1012.0,829.0,81.91699604743083,68.30510906179074,13.611886985640083,Elementary/middle,Over expected
Olney ISD,33630,2020-2024,Texas,44053.0,8706.0,OLNEY ISD,252903,Spring 2026,643.0,501.0,77.91601866251943,64.31049470494882,13.605523957570611,Elementary/middle,Over expected
Pottsboro ISD,35580,2020-2024,Texas,79710.0,10159.0,POTTSBORO ISD,091913,Spring 2026,1277.0,1084.0,84.88645262333594,71.30911715590756,13.577335467428384,Elementary/middle,Over expected
Honey Grove ISD,23460,2020-2024,Texas,55472.0,9212.0,HONEY GROVE ISD,074907,Spring 2026,598.0,478.0,79.93311036789298,66.5517732692559,13.381337098637076,Elementary/middle,Over expected
Harmony ISD,22560,2020-2024,Texas,66090.0,17114.0,HARMONY ISD,230905,Spring 2026,900.0,738.0,82.0,68.63583455271441,13.364165447285586,Elementary/middle,Over expected
Tolar ISD,42900,2020-2024,Texas,78403.0,10484.0,TOLAR ISD,111903,Spring 2026,851.0,717.0,84.25381903642773,71.052584089654,13.201234946773724,Elementary/middle,Over expected
Lackland ISD,26370,2020-2024,Texas,64539.0,15330.0,LACKLAND ISD,015913,Spring 2026,915.0,746.0,81.53005464480874,68.33141008006004,13.198644564748705,Elementary/middle,Over expected
Farwell ISD,19110,2020-2024,Texas,68889.0,13658.0,FARWELL ISD,185902,Spring 2026,528.0,434.0,82.1969696969697,69.18521179253362,13.011757904436081,Elementary/middle,Over expected
Muenster ISD,31860,2020-2024,Texas,90944.0,6411.0,MUENSTER ISD,049902,Spring 2026,525.0,454.0,86.47619047619047,73.51408461290255,12.962105863287917,Elementary/middle,Over expected
Spring Hill ISD,41190,2020-2024,Texas,90098.0,11861.0,SPRING HILL ISD,092907,Spring 2026,1879.0,1620.0,86.21607237892496,73.34803490054563,12.868037478379335,Elementary/middle,Over expected
Hillsboro ISD,23280,2020-2024,Texas,59048.0,9012.0,HILLSBORO ISD,109904,Spring 2026,1794.0,1436.0,80.04459308807135,67.25365715978592,12.790935928285435,Elementary/middle,Over expected
Joaquin ISD,24810,2020-2024,Texas,55267.0,23623.0,JOAQUIN ISD,210902,Spring 2026,657.0,521.0,79.29984779299848,66.51153663682899,12.788311156169485,Elementary/middle,Over expected
Panhandle ISD,34230,2020-2024,Texas,86630.0,3477.0,PANHANDLE ISD,033902,Spring 2026,563.0,481.0,85.43516873889875,72.66734884563564,12.767819893263109,Elementary/middle,Over expected
Bells ISD,9780,2020-2024,Texas,92926.0,9909.0,BELLS ISD,091901,Spring 2026,988.0,856.0,86.63967611336032,73.90310415178132,12.736571961579003,Elementary/middle,Over expected
Iowa Park CISD,24260,2020-2024,Texas,75323.0,14316.0,IOWA PARK CISD,243903,Spring 2026,1946.0,1617.0,83.09352517985612,70.44805322197156,12.645471957884553,Elementary/middle,Over expected
Pewitt CISD,34800,2020-2024,Texas,56139.0,3524.0,PEWITT CISD,172905,Spring 2026,717.0,568.0,79.21896792189679,66.6826895318352,12.536278390061597,Elementary/middle,Over expected
Holliday ISD,23400,2020-2024,Texas,86364.0,16135.0,HOLLIDAY ISD,005902,Spring 2026,1123.0,954.0,84.95102404274265,72.61513936160853,12.335884681134118,Elementary/middle,Over expected
Hughes Springs ISD,23850,2020-2024,Texas,39009.0,5278.0,HUGHES SPRINGS ISD,034903,Spring 2026,918.0,694.0,75.59912854030502,63.32047727099095,12.278651269314068,Elementary/middle,Over expected
Hemphill ISD,22890,2020-2024,Texas,64806.0,7784.0,HEMPHILL ISD,202903,Spring 2026,626.0,504.0,80.5111821086262,68.3838158403429,12.127366268283296,Elementary/middle,Over expected
Nederland ISD,32280,2020-2024,Texas,77596.0,6633.0,NEDERLAND ISD,123905,Spring 2026,5129.0,4255.0,82.95964125560538,70.89418915127098,12.065452104334398,Elementary/middle,Over expected
Ysleta ISD,46680,2020-2024,Texas,50480.0,2079.0,YSLETA ISD,071905,Spring 2026,29324.0,22761.0,77.61901514118128,65.57196220059657,12.047052940584706,Elementary/middle,Over expected
Bishop CISD,10260,2020-2024,Texas,66813.0,13392.0,BISHOP CISD,178902,Spring 2026,1297.0,1048.0,80.80185042405552,68.77774228561519,12.024108138440326,Elementary/middle,Over expected
Thorndale ISD,42630,2020-2024,Texas,67750.0,27604.0,THORNDALE ISD,166905,Spring 2026,646.0,522.0,80.80495356037152,68.96165313724455,11.843300423126962,Elementary/middle,Over expected
Union Grove ISD,43530,2020-2024,Texas,72969.0,25994.0,UNION GROVE ISD,230908,Spring 2026,671.0,549.0,81.81818181818183,69.98601891595712,11.83216290222471,Elementary/middle,Over expected
