income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Midway ISD (McLennan County),30640,2020-2024,Texas,95241.0,7603.0,MIDWAY ISD,161903,Spring 2026,8191.0,6657.0,81.27212794530583,74.35748368382185,6.914644261483971,Elementary/middle,Over expected
Tomball ISD,42960,2020-2024,Texas,128054.0,12381.0,TOMBALL ISD,101921,Spring 2026,22741.0,19928.0,87.63027131612506,80.79789646345304,6.832374852672018,Elementary/middle,Over expected
Pine Tree ISD,34980,2020-2024,Texas,68743.0,3790.0,PINE TREE ISD,092904,Spring 2026,4177.0,3171.0,75.9157289920996,69.15655545919543,6.759173532904171,Elementary/middle,Over expected
San Diego ISD,38820,2020-2024,Texas,46771.0,13870.0,SAN DIEGO ISD,066902,Spring 2026,1308.0,935.0,71.48318042813455,64.843973568053,6.6392068600815435,Elementary/middle,Over expected
Stockdale ISD,41610,2020-2024,Texas,67569.0,22381.0,STOCKDALE ISD,247906,Spring 2026,796.0,601.0,75.50251256281408,68.92612713495544,6.576385427858639,Elementary/middle,Over expected
Groveton ISD,21900,2020-2024,Texas,54026.0,10450.0,GROVETON ISD,228901,Spring 2026,647.0,471.0,72.79752704791345,66.26795780345435,6.529569244459097,Elementary/middle,Over expected
Flour Bluff ISD,19380,2020-2024,Texas,92182.0,8117.0,FLOUR BLUFF ISD,178914,Spring 2026,4894.0,3926.0,80.22067838169187,73.75707461750997,6.463603764181897,Elementary/middle,Over expected
Atlanta ISD,8880,2020-2024,Texas,64488.0,4848.0,ATLANTA ISD,034901,Spring 2026,1899.0,1420.0,74.77619799894681,68.32139999101724,6.454798007929568,Elementary/middle,Over expected
White Oak ISD,45480,2020-2024,Texas,100146.0,21840.0,WHITE OAK ISD,092908,Spring 2026,1344.0,1099.0,81.77083333333334,75.32021871823173,6.450614615101614,Elementary/middle,Over expected
Buna ISD,12090,2020-2024,Texas,55048.0,27372.0,BUNA ISD,121903,Spring 2026,1277.0,930.0,72.82693813625684,66.4685521368217,6.358385999435143,Elementary/middle,Over expected
Normangee ISD,32910,2020-2024,Texas,68818.0,19075.0,NORMANGEE ISD,145906,Spring 2026,563.0,425.0,75.48845470692717,69.171276178376,6.3171785285511675,Elementary/middle,Over expected
Corrigan-Camden ISD,15300,2020-2024,Texas,49817.0,15606.0,CORRIGAN-CAMDEN ISD,187904,Spring 2026,761.0,546.0,71.74770039421814,65.44183104304025,6.30586935117789,Elementary/middle,Over expected
Longview ISD,28110,2020-2024,Texas,61669.0,3661.0,LONGVIEW ISD,092903,Spring 2026,6909.0,5116.0,74.04834274135186,67.76809722608321,6.280245515268646,Elementary/middle,Over expected
Santa Rosa ISD,39360,2020-2024,Texas,48306.0,10391.0,SANTA ROSA ISD,031914,Spring 2026,723.0,516.0,71.36929460580913,65.14525762061552,6.224036985193607,Elementary/middle,Over expected
Cisco ISD,14070,2020-2024,Texas,60956.0,5097.0,CISCO ISD,067902,Spring 2026,826.0,610.0,73.8498789346247,67.62815225573985,6.221726678884849,Elementary/middle,Over expected
Joshua ISD,24930,2020-2024,Texas,94155.0,7917.0,JOSHUA ISD,126905,Spring 2026,5797.0,4658.0,80.35190615835776,74.14432767008708,6.207578488270684,Elementary/middle,Over expected
La Grange ISD,26100,2020-2024,Texas,75534.0,5301.0,LA GRANGE ISD,075902,Spring 2026,1760.0,1349.0,76.64772727272727,70.48946751193292,6.158259760794351,Elementary/middle,Over expected
Calallen ISD,12420,2020-2024,Texas,83444.0,10250.0,CALALLEN ISD,178903,Spring 2026,3516.0,2748.0,78.15699658703072,72.04201269484466,6.114983892186061,Elementary/middle,Over expected
United ISD,43650,2020-2024,Texas,74662.0,3113.0,UNITED ISD,240903,Spring 2026,35999.0,27486.0,76.35212089224702,70.31831461692673,6.033806275320288,Elementary/middle,Over expected
Robinson ISD,37410,2020-2024,Texas,108023.0,14875.0,ROBINSON ISD,161922,Spring 2026,2362.0,1958.0,82.89585097375107,76.866286784704,6.029564189047065,Elementary/middle,Over expected
Ropes ISD,37830,2020-2024,Texas,101250.0,21571.0,ROPES ISD,110905,Spring 2026,600.0,489.0,81.5,75.53690770456984,5.963092295430158,Elementary/middle,Over expected
Gregory-Portland ISD,21780,2020-2024,Texas,82083.0,9503.0,GREGORY-PORTLAND ISD,205902,Spring 2026,4884.0,3795.0,77.7027027027027,71.77488071078108,5.927821991921618,Elementary/middle,Over expected
Anthony ISD,8430,2020-2024,Texas,56125.0,8703.0,ANTHONY ISD,071906,Spring 2026,573.0,416.0,72.6003490401396,66.67994166425481,5.920407375884793,Elementary/middle,Over expected
Mabank ISD,28680,2020-2024,Texas,62913.0,4658.0,MABANK ISD,129905,Spring 2026,3874.0,2864.0,73.92875580795044,68.01226488822509,5.916490919725348,Elementary/middle,Over expected
Los Fresnos CISD,28290,2020-2024,Texas,69593.0,5023.0,LOS FRESNOS CISD,031906,Spring 2026,9624.0,7241.0,75.23898586866167,69.32339027657532,5.915595592086348,Elementary/middle,Over expected
Progreso ISD,35910,2020-2024,Texas,39806.0,30179.0,PROGRESO ISD,108910,Spring 2026,1130.0,784.0,69.38053097345133,63.47690944681657,5.903621526634758,Elementary/middle,Over expected
Allen ISD,7890,2020-2024,Texas,127415.0,8544.0,ALLEN ISD,043901,Spring 2026,19143.0,16567.0,86.54338400459697,80.6724759360345,5.870908068562471,Elementary/middle,Over expected
Queen City ISD,36210,2020-2024,Texas,47616.0,7748.0,QUEEN CITY ISD,034907,Spring 2026,734.0,520.0,70.84468664850137,65.00982700415419,5.834859644347176,Elementary/middle,Over expected
Yoakum ISD,46620,2020-2024,Texas,53128.0,9736.0,YOAKUM ISD,062903,Spring 2026,1152.0,828.0,71.875,66.09170172579888,5.783298274201115,Elementary/middle,Over expected
Kerrville ISD,25590,2020-2024,Texas,65030.0,4507.0,KERRVILLE ISD,133903,Spring 2026,4086.0,3032.0,74.20460107684778,68.42778172162889,5.7768193552188905,Elementary/middle,Over expected
Nocona ISD,32790,2020-2024,Texas,52569.0,10449.0,NOCONA ISD,169902,Spring 2026,694.0,498.0,71.75792507204612,65.98198329883962,5.7759417732064975,Elementary/middle,Over expected
Pearland ISD,34440,2020-2024,Texas,114890.0,5310.0,PEARLAND ISD,020908,Spring 2026,19100.0,16039.0,83.9738219895288,78.21411583287781,5.759706156650992,Elementary/middle,Over expected
Wylie ISD (Collin County),46530,2020-2024,Texas,132443.0,6682.0,WYLIE ISD,043914,Spring 2026,19069.0,16658.0,87.35644239341339,81.65935294990052,5.697089443512866,Elementary/middle,Over expected
Comanche ISD,14760,2020-2024,Texas,57986.0,8809.0,COMANCHE ISD,047901,Spring 2026,1218.0,886.0,72.74220032840722,67.04521177618892,5.696988552218301,Elementary/middle,Over expected
Alvord ISD,8100,2020-2024,Texas,86250.0,26349.0,ALVORD ISD,249901,Spring 2026,837.0,655.0,78.25567502986857,72.59276386845404,5.662911161414527,Elementary/middle,Over expected
Rio Vista ISD,37200,2020-2024,Texas,59219.0,11772.0,RIO VISTA ISD,126907,Spring 2026,1042.0,760.0,72.93666026871402,67.28722039951764,5.649439869196385,Elementary/middle,Over expected
Breckenridge ISD,11220,2020-2024,Texas,57852.0,10314.0,BRECKENRIDGE ISD,215901,Spring 2026,1155.0,839.0,72.64069264069263,67.01891075791961,5.621781882773021,Elementary/middle,Over expected
Canyon ISD,12810,2020-2024,Texas,94955.0,3167.0,CANYON ISD,191901,Spring 2026,10960.0,8758.0,79.9087591240876,74.30134867467991,5.607410449407681,Elementary/middle,Over expected
Mount Pleasant ISD,31760,2020-2024,Texas,53933.0,3502.0,MOUNT PLEASANT ISD,225902,Spring 2026,4323.0,3105.0,71.82512144344206,66.24970411167043,5.575417331771632,Elementary/middle,Over expected
Bowie ISD,10990,2020-2024,Texas,66461.0,6904.0,BOWIE ISD,169901,Spring 2026,1397.0,1037.0,74.23049391553329,68.70865304359434,5.521840871938949,Elementary/middle,Over expected
Grapevine-Colleyville ISD,21660,2020-2024,Texas,117626.0,6703.0,GRAPEVINE-COLLEYVILLE ISD,220906,Spring 2026,11910.0,10032.0,84.23173803526448,78.75112766858533,5.480610366679159,Elementary/middle,Over expected
Tatum ISD,42240,2020-2024,Texas,82321.0,16718.0,TATUM ISD,201910,Spring 2026,1254.0,969.0,77.27272727272727,71.82159445964744,5.451132813079823,Elementary/middle,Over expected
Pharr-San Juan-Alamo ISD,34860,2020-2024,Texas,53932.0,3559.0,PHARR-SAN JUAN-ALAMO ISD,108909,Spring 2026,23724.0,17004.0,71.67425392008093,66.24950783541469,5.424746084666239,Elementary/middle,Over expected
Rosebud-Lott ISD,37900,2020-2024,Texas,55136.0,3834.0,ROSEBUD-LOTT ISD,073905,Spring 2026,696.0,500.0,71.83908045977012,66.48582444732692,5.353256012443197,Elementary/middle,Over expected
Brownsboro ISD,11640,2020-2024,Texas,63112.0,4510.0,BROWNSBORO ISD,107902,Spring 2026,2375.0,1743.0,73.38947368421053,68.05132386311756,5.338149821092969,Elementary/middle,Over expected
Bushland ISD,35570,2020-2024,Texas,114535.0,12663.0,BUSHLAND ISD,188904,Spring 2026,1475.0,1230.0,83.38983050847457,78.14443776208974,5.245392746384837,Elementary/middle,Over expected
Copperas Cove ISD,15240,2020-2024,Texas,73120.0,3572.0,COPPERAS COVE ISD,050910,Spring 2026,6716.0,5054.0,75.25312686122692,70.01565663057401,5.237470230652903,Elementary/middle,Over expected
Hico ISD,23070,2020-2024,Texas,69640.0,6740.0,HICO ISD,097903,Spring 2026,576.0,429.0,74.47916666666666,69.33261526059515,5.146551406071509,Elementary/middle,Over expected
Coleman ISD,14550,2020-2024,Texas,47386.0,11931.0,COLEMAN ISD,042901,Spring 2026,674.0,472.0,70.02967359050444,64.96468346533375,5.064990125170695,Elementary/middle,Over expected
Orangefield ISD,33780,2020-2024,Texas,84639.0,18127.0,ORANGEFIELD ISD,181905,Spring 2026,1655.0,1280.0,77.34138972809667,72.27656282045521,5.064826907641461,Elementary/middle,Over expected
Sharyland ISD,39930,2020-2024,Texas,72238.0,6831.0,SHARYLAND ISD,108911,Spring 2026,8902.0,6666.0,74.8820489777578,69.84254097301041,5.03950800474739,Elementary/middle,Over expected
Olton ISD,33660,2020-2024,Texas,61375.0,6010.0,OLTON ISD,140905,Spring 2026,535.0,389.0,72.71028037383176,67.71039200689535,4.999888366936418,Elementary/middle,About expected
Clyde CISD,14450,2020-2024,Texas,78981.0,11435.0,CLYDE CISD,030902,Spring 2026,1330.0,1013.0,76.1654135338346,71.16603176547233,4.999381768362269,Elementary/middle,About expected
Diboll ISD,17040,2020-2024,Texas,61559.0,9202.0,DIBOLL ISD,003905,Spring 2026,1372.0,998.0,72.74052478134111,67.7465068379517,4.994017943389409,Elementary/middle,About expected
Hidalgo ISD,23100,2020-2024,Texas,41094.0,17159.0,HIDALGO ISD,108905,Spring 2026,2629.0,1806.0,68.6953214149867,63.72971326421104,4.965608150775651,Elementary/middle,About expected
Perryton ISD,34650,2020-2024,Texas,70671.0,9400.0,PERRYTON ISD,179901,Spring 2026,1713.0,1275.0,74.43082311733801,69.53497608026417,4.895847037073835,Elementary/middle,About expected
Edinburg CISD,18180,2020-2024,Texas,58501.0,3250.0,EDINBURG CISD,108904,Spring 2026,27408.0,19726.0,71.97168709865733,67.14629404789557,4.825393050761761,Elementary/middle,About expected
Friendswood ISD,19950,2020-2024,Texas,149590.0,9820.0,FRIENDSWOOD ISD,084911,Spring 2026,6107.0,5487.0,89.84771573604061,85.02490190709236,4.822813828948256,Elementary/middle,About expected
El Paso ISD,18300,2020-2024,Texas,54425.0,1950.0,EL PASO ISD,071902,Spring 2026,37234.0,26490.0,71.14465273674598,66.34627202949503,4.798380707250956,Elementary/middle,About expected
Somerset ISD,40740,2020-2024,Texas,72176.0,8968.0,SOMERSET ISD,015909,Spring 2026,3586.0,2674.0,74.56776352481874,69.83037184515446,4.7373916796642845,Elementary/middle,About expected
Ingleside ISD,24180,2020-2024,Texas,70657.0,12652.0,INGLESIDE ISD,205903,Spring 2026,1899.0,1408.0,74.14428646656135,69.5322282126838,4.612058253877549,Elementary/middle,About expected
Wolfe City ISD,46350,2020-2024,Texas,63173.0,10653.0,WOLFE CITY ISD,116909,Spring 2026,677.0,492.0,72.67355982274741,68.06329671471777,4.610263108029642,Elementary/middle,About expected
Grandview ISD,21540,2020-2024,Texas,87389.0,12680.0,GRANDVIEW ISD,126904,Spring 2026,1371.0,1061.0,77.38876732312181,72.81632252374311,4.572444799378701,Elementary/middle,About expected
Winnsboro ISD,46200,2020-2024,Texas,60662.0,12105.0,WINNSBORO ISD,250907,Spring 2026,1290.0,929.0,72.01550387596899,67.57044703655197,4.4450568394170205,Elementary/middle,About expected
Beckville ISD,9690,2020-2024,Texas,88750.0,28284.0,BECKVILLE ISD,183901,Spring 2026,614.0,476.0,77.52442996742671,73.08345450780668,4.440975459620034,Elementary/middle,About expected
Tuloso-Midway ISD,43350,2020-2024,Texas,69700.0,5027.0,TULOSO-MIDWAY ISD,178912,Spring 2026,3379.0,2492.0,73.74963006806748,69.34439183593962,4.405238232127857,Elementary/middle,About expected
DeKalb ISD,16570,2020-2024,Texas,55464.0,12645.0,DEKALB ISD,019901,Spring 2026,867.0,615.0,70.93425605536332,66.55020305920998,4.384052996153343,Elementary/middle,About expected
Clear Creek ISD,14280,2020-2024,Texas,102389.0,2875.0,CLEAR CREEK ISD,084910,Spring 2026,35201.0,28204.0,80.12272378625607,75.76046635985891,4.362257426397164,Elementary/middle,About expected
Round Rock ISD,38080,2020-2024,Texas,108174.0,2738.0,ROUND ROCK ISD,246909,Spring 2026,41232.0,33495.0,81.23544819557625,76.8959244993209,4.339523696255355,Elementary/middle,About expected
Axtell ISD,9150,2020-2024,Texas,84769.0,11677.0,AXTELL ISD,161918,Spring 2026,779.0,597.0,76.6367137355584,72.30207873370155,4.334635001856853,Elementary/middle,About expected
Palmer ISD,34110,2020-2024,Texas,106652.0,16738.0,PALMER ISD,070910,Spring 2026,1311.0,1061.0,80.93058733790998,76.59719203808302,4.333395299826961,Elementary/middle,About expected
Amarillo ISD,8130,2020-2024,Texas,60371.0,2660.0,AMARILLO ISD,188901,Spring 2026,25579.0,18362.0,71.78544900113374,67.51333064613132,4.272118355002419,Elementary/middle,About expected
Frisco ISD,20010,2020-2024,Texas,144206.0,2934.0,FRISCO ISD,043905,Spring 2026,58548.0,51653.0,88.2233381157341,83.96815054618253,4.255187569551566,Elementary/middle,About expected
Lampasas ISD,26640,2020-2024,Texas,80703.0,7640.0,LAMPASAS ISD,141901,Spring 2026,3349.0,2537.0,75.75395640489698,71.50401947785842,4.249936927038561,Elementary/middle,About expected
Weslaco ISD,44960,2020-2024,Texas,57881.0,3444.0,WESLACO ISD,108913,Spring 2026,13952.0,9934.0,71.2012614678899,67.0246027693361,4.176658698553808,Elementary/middle,About expected
Port Aransas ISD,35370,2020-2024,Texas,91106.0,24830.0,PORT ARANSAS ISD,178908,Spring 2026,543.0,422.0,77.71639042357275,73.5458813663326,4.170509057240153,Elementary/middle,About expected
Brock ISD,11460,2020-2024,Texas,142130.0,28797.0,BROCK ISD,184909,Spring 2026,2266.0,1986.0,87.64342453662842,83.5606810392641,4.082743497364319,Elementary/middle,About expected
Jacksboro ISD,24530,2020-2024,Texas,59153.0,15886.0,JACKSBORO ISD,119902,Spring 2026,974.0,695.0,71.35523613963038,67.27426616663872,4.080969972991653,Elementary/middle,About expected
Donna ISD,17390,2020-2024,Texas,43627.0,4301.0,DONNA ISD,108902,Spring 2026,11165.0,7626.0,68.30273175100761,64.22688102000313,4.075850731004479,Elementary/middle,About expected
Johnson City ISD,24840,2020-2024,Texas,91763.0,11282.0,JOHNSON CITY ISD,016901,Spring 2026,597.0,464.0,77.72194304857621,73.67483486635447,4.047108182221734,Elementary/middle,About expected
City View ISD,14130,2020-2024,Texas,54332.0,11991.0,CITY VIEW ISD,243906,Spring 2026,1153.0,811.0,70.33824804856896,66.32801833771111,4.010229710857843,Elementary/middle,About expected
Boerne ISD,10710,2020-2024,Texas,136279.0,10659.0,BOERNE ISD,130901,Spring 2026,10781.0,9317.0,86.4205546795288,82.4122686669232,4.008286012605609,Elementary/middle,About expected
Crockett County Consolidated CSD,15690,2020-2024,Texas,81022.0,32122.0,CROCKETT COUNTY CONSOLIDATED CSD,053001,Spring 2026,572.0,432.0,75.52447552447552,71.56663160343982,3.9578439210357033,Elementary/middle,About expected
Edna ISD,18210,2020-2024,Texas,63014.0,6974.0,EDNA ISD,120901,Spring 2026,1353.0,974.0,71.98817442719881,68.03208879005493,3.956085637143886,Elementary/middle,About expected
Huntington ISD,24000,2020-2024,Texas,63485.0,9818.0,HUNTINGTON ISD,003904,Spring 2026,1346.0,970.0,72.06537890044576,68.12453490650897,3.940843993936795,Elementary/middle,About expected
Stanton ISD,41430,2020-2024,Texas,94577.0,20954.0,STANTON ISD,156902,Spring 2026,1042.0,814.0,78.1190019193858,74.2271562500098,3.8918456693759964,Elementary/middle,About expected
Coppell ISD,15210,2020-2024,Texas,160589.0,10919.0,COPPELL ISD,057922,Spring 2026,12655.0,11525.0,91.07072303437376,87.1837444439882,3.886978590385553,Elementary/middle,About expected
Moody ISD,31290,2020-2024,Texas,86778.0,9569.0,MOODY ISD,161910,Spring 2026,708.0,542.0,76.55367231638418,72.69639773148532,3.8572745848988603,Elementary/middle,About expected
Leon ISD,27180,2020-2024,Texas,70893.0,11732.0,LEON ISD,145911,Spring 2026,687.0,504.0,73.36244541484717,69.57854940903869,3.7838960058084865,Elementary/middle,About expected
Mart ISD,29190,2020-2024,Texas,78393.0,13261.0,MART ISD,161908,Spring 2026,539.0,403.0,74.76808905380335,71.0506213270966,3.717467726706758,Elementary/middle,About expected
Fredericksburg ISD,19840,2020-2024,Texas,75388.0,7856.0,FREDERICKSBURG ISD,086901,Spring 2026,2649.0,1964.0,74.14118535296338,70.46081117859472,3.6803741743686516,Elementary/middle,About expected
Port Neches-Groves ISD,35430,2020-2024,Texas,81914.0,8598.0,PORT NECHES-GROVES ISD,123908,Spring 2026,5215.0,3933.0,75.4170661553212,71.74171002356084,3.6753561317603527,Elementary/middle,About expected
Caddo Mills ISD,12390,2020-2024,Texas,107083.0,13870.0,CADDO MILLS ISD,116901,Spring 2026,3217.0,2585.0,80.35436742306497,76.6817871043074,3.672580318757568,Elementary/middle,About expected
Bland ISD,10350,2020-2024,Texas,102855.0,19382.0,BLAND ISD,116915,Spring 2026,731.0,581.0,79.48016415868673,75.85193109503423,3.6282330636525018,Elementary/middle,About expected
Academy ISD,7470,2020-2024,Texas,95390.0,4391.0,ACADEMY ISD,014901,Spring 2026,1892.0,1476.0,78.01268498942918,74.38672884592728,3.625956143501895,Elementary/middle,About expected
Katy ISD,25170,2020-2024,Texas,115908.0,3939.0,KATY ISD,101914,Spring 2026,90042.0,73820.0,81.98396303947047,78.4139250612222,3.5700379782482656,Elementary/middle,About expected
Bosqueville ISD,10910,2020-2024,Texas,81042.0,5991.0,BOSQUEVILLE ISD,161923,Spring 2026,732.0,550.0,75.13661202185791,71.57055712855464,3.5660548933032743,Elementary/middle,About expected
Lamar CISD,26580,2020-2024,Texas,109349.0,5441.0,LAMAR CISD,079901,Spring 2026,46130.0,37221.0,80.68718838066334,77.12654909981663,3.560639280846715,Elementary/middle,About expected
Spring Branch ISD,41100,2020-2024,Texas,87141.0,3816.0,SPRING BRANCH ISD,101920,Spring 2026,28539.0,21777.0,76.30610743193525,72.76764601231932,3.5384614196159276,Elementary/middle,About expected
Era ISD,18600,2020-2024,Texas,87639.0,18967.0,ERA ISD,049906,Spring 2026,512.0,391.0,76.3671875,72.86539158767837,3.501795912321626,Elementary/middle,About expected
Fabens ISD,18900,2020-2024,Texas,43367.0,16273.0,FABENS ISD,071903,Spring 2026,1672.0,1131.0,67.64354066985646,64.17584919351046,3.4676914763460047,Elementary/middle,About expected
La Porte ISD,26190,2020-2024,Texas,90696.0,6916.0,LA PORTE ISD,101916,Spring 2026,6402.0,4924.0,76.91346454233053,73.46540810147877,3.448056440851758,Elementary/middle,About expected
Zapata County ISD,46710,2020-2024,Texas,39239.0,4265.0,ZAPATA COUNTY ISD,253901,Spring 2026,2920.0,1949.0,66.74657534246575,63.36562080981139,3.380954532654357,Elementary/middle,About expected
Comal ISD,14730,2020-2024,Texas,110926.0,3282.0,COMAL ISD,046902,Spring 2026,28881.0,23328.0,80.77282642567778,77.43607675512027,3.3367496705575093,Elementary/middle,About expected
Coahoma ISD,14490,2020-2024,Texas,65128.0,21120.0,COAHOMA ISD,114902,Spring 2026,1043.0,748.0,71.71620325982741,68.44701679469152,3.2691864651358884,Elementary/middle,About expected
East Chambers ISD,17880,2020-2024,Texas,77331.0,16038.0,EAST CHAMBERS ISD,036903,Spring 2026,1335.0,988.0,74.00749063670412,70.8421759434996,3.1653146932045217,Elementary/middle,About expected
Tioga ISD,42870,2020-2024,Texas,83000.0,31115.0,TIOGA ISD,091907,Spring 2026,518.0,389.0,75.0965250965251,71.95486603729563,3.141659059229468,Elementary/middle,About expected
Llano ISD,27810,2020-2024,Texas,71798.0,8756.0,LLANO ISD,150901,Spring 2026,1858.0,1353.0,72.82023681377827,69.75617942048434,3.064057393293922,Elementary/middle,About expected
Aledo ISD,7780,2020-2024,Texas,156900.0,10109.0,ALEDO ISD,184907,Spring 2026,8378.0,7491.0,89.41274767247553,86.45968133655946,2.953066335916077,Elementary/middle,About expected
Goliad ISD,21030,2020-2024,Texas,59359.0,7643.0,GOLIAD ISD,088902,Spring 2026,1130.0,794.0,70.26548672566372,67.31469907532139,2.9507876503423347,Elementary/middle,About expected
San Saba ISD,39030,2020-2024,Texas,52938.0,8317.0,SAN SABA ISD,206901,Spring 2026,642.0,443.0,69.00311526479751,66.05440923720808,2.948706027589438,Elementary/middle,About expected
Scurry-Rosser ISD,39570,2020-2024,Texas,100465.0,17816.0,SCURRY-ROSSER ISD,129910,Spring 2026,955.0,748.0,78.32460732984293,75.38283084381311,2.9417764860298234,Elementary/middle,About expected
Montgomery ISD,31260,2020-2024,Texas,114127.0,13058.0,MONTGOMERY ISD,170903,Spring 2026,9437.0,7644.0,81.00031789763696,78.06435704974739,2.935960847889575,Elementary/middle,About expected
Littlefield ISD,27750,2020-2024,Texas,60145.0,7156.0,LITTLEFIELD ISD,140904,Spring 2026,1053.0,741.0,70.37037037037037,67.46897221233385,2.901398158036514,Elementary/middle,About expected
Lovejoy ISD,28380,2020-2024,Texas,181170.0,30114.0,LOVEJOY ISD,043919,Spring 2026,3538.0,3330.0,94.12097230073488,91.22330606339483,2.8976662373400472,Elementary/middle,About expected
Deer Park ISD,16530,2020-2024,Texas,91636.0,7014.0,DEER PARK ISD,101908,Spring 2026,11158.0,8539.0,76.5280516221545,73.64990778187536,2.878143840279151,Elementary/middle,About expected
Conroe ISD,15000,2020-2024,Texas,98985.0,3188.0,CONROE ISD,170902,Spring 2026,68183.0,53138.0,77.93438247070384,75.09234198531635,2.8420404853874857,Elementary/middle,About expected
Dickinson ISD,17070,2020-2024,Texas,83295.0,5974.0,DICKINSON ISD,084901,Spring 2026,11541.0,8638.0,74.8462005025561,72.01276753273923,2.8334329698168688,Elementary/middle,About expected
Bangs ISD,9390,2020-2024,Texas,60833.0,9682.0,BANGS ISD,025901,Spring 2026,791.0,557.0,70.41719342604299,67.6040102762837,2.8131831497592827,Elementary/middle,About expected
Elysian Fields ISD,18480,2020-2024,Texas,73750.0,21263.0,ELYSIAN FIELDS ISD,102906,Spring 2026,713.0,520.0,72.9312762973352,70.13931067169088,2.7919656256443233,Elementary/middle,About expected
Ganado ISD,20310,2020-2024,Texas,81826.0,18563.0,GANADO ISD,120902,Spring 2026,690.0,514.0,74.4927536231884,71.72443771305562,2.7683159101327846,Elementary/middle,About expected
Grand Saline ISD,21450,2020-2024,Texas,58750.0,11882.0,GRAND SALINE ISD,234904,Spring 2026,1195.0,835.0,69.8744769874477,67.19516683557508,2.6793101518726132,Elementary/middle,About expected
Jourdanton ISD,24960,2020-2024,Texas,77866.0,9472.0,JOURDANTON ISD,007902,Spring 2026,1414.0,1041.0,73.62093352192363,70.94718374032105,2.673749781602581,Elementary/middle,About expected
Lubbock-Cooper ISD,15180,2020-2024,Texas,109087.0,7884.0,LUBBOCK-COOPER ISD,152906,Spring 2026,7687.0,6126.0,79.69298816183166,77.07512472081248,2.617863441019182,Elementary/middle,About expected
Corpus Christi ISD,15270,2020-2024,Texas,63920.0,1407.0,CORPUS CHRISTI ISD,178904,Spring 2026,27710.0,19623.0,70.81559003969686,68.20991507775632,2.6056749619405366,Elementary/middle,About expected
Paradise ISD,34260,2020-2024,Texas,103333.0,26423.0,PARADISE ISD,249906,Spring 2026,1398.0,1098.0,78.54077253218884,75.94575114527846,2.595021386910375,Elementary/middle,About expected
Troy ISD,43260,2020-2024,Texas,84079.0,15335.0,TROY ISD,014910,Spring 2026,1656.0,1238.0,74.7584541062802,72.16664811724021,2.591805989039983,Elementary/middle,About expected
Kirbyville CISD,25710,2020-2024,Texas,61378.0,16535.0,KIRBYVILLE CISD,121905,Spring 2026,1415.0,994.0,70.24734982332156,67.71098083566257,2.5363689876589888,Elementary/middle,About expected
Frenship ISD,19830,2020-2024,Texas,77793.0,3734.0,FRENSHIP ISD,152907,Spring 2026,11603.0,8524.0,73.46375937257605,70.93285557365196,2.5309037989240863,Elementary/middle,About expected
Clint ISD,14430,2020-2024,Texas,55527.0,3786.0,CLINT ISD,071901,Spring 2026,9264.0,6397.0,69.05224525043178,66.56256846332167,2.4896767871101133,Elementary/middle,About expected
Grapeland ISD,21630,2020-2024,Texas,60012.0,17355.0,GRAPELAND ISD,113902,Spring 2026,542.0,379.0,69.92619926199262,67.4428674703203,2.4833317916723274,Elementary/middle,About expected
Onalaska ISD,33690,2020-2024,Texas,70252.0,6753.0,ONALASKA ISD,187910,Spring 2026,1147.0,825.0,71.92676547515258,69.45273632910867,2.474029146043904,Elementary/middle,About expected
Houston ISD,23640,2020-2024,Texas,67518.0,1067.0,HOUSTON ISD,101912,Spring 2026,144192.0,102922.0,71.37843985796715,68.91611704591264,2.4623228120545093,Elementary/middle,About expected
Castleberry ISD,13170,2020-2024,Texas,61935.0,4622.0,CASTLEBERRY ISD,220917,Spring 2026,3377.0,2371.0,70.21024578027836,67.82030671011033,2.389939070168026,Elementary/middle,About expected
Carthage ISD,13110,2020-2024,Texas,63860.0,13270.0,CARTHAGE ISD,183902,Spring 2026,2415.0,1701.0,70.43478260869566,68.19813850241187,2.2366441062837907,Elementary/middle,About expected
Klein ISD,25740,2020-2024,Texas,95905.0,3629.0,KLEIN ISD,101915,Spring 2026,46862.0,35916.0,76.64205539669669,74.48781111763392,2.154244279062766,Elementary/middle,About expected
Edgewood ISD (Van Zandt County),18120,2020-2024,Texas,78995.0,10569.0,EDGEWOOD ISD,234903,Spring 2026,955.0,700.0,73.29842931937172,71.16877963305271,2.129649686319013,Elementary/middle,About expected
San Benito CISD,38790,2020-2024,Texas,45640.0,2560.0,SAN BENITO CISD,031912,Spring 2026,7387.0,4929.0,66.72532827940978,64.62198512280987,2.1033431565999052,Elementary/middle,About expected
Hamshire-Fannett ISD,22320,2020-2024,Texas,101541.0,10383.0,HAMSHIRE-FANNETT ISD,123914,Spring 2026,1885.0,1464.0,77.6657824933687,75.59402409499049,2.0717583983782077,Elementary/middle,About expected
Deweyville ISD,17010,2020-2024,Texas,64563.0,37881.0,DEWEYVILLE ISD,176903,Spring 2026,500.0,352.0,70.39999999999999,68.33612071019782,2.0638792898021734,Elementary/middle,About expected
