district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
PETERSBURG ISD,095904,Spring 2026,193.0,135.0,69.94818652849742
PETROLIA CISD,039903,Spring 2026,432.0,294.0,68.05555555555556
PETTUS ISD,013903,Spring 2026,359.0,258.0,71.86629526462396
PEWITT CISD,172905,Spring 2026,717.0,568.0,79.21896792189679
PFLUGERVILLE ISD,227904,Spring 2026,22821.0,15988.0,70.05827965470401
PHARR-SAN JUAN-ALAMO ISD,108909,Spring 2026,23724.0,17004.0,71.67425392008093
PILOT POINT ISD,061903,Spring 2026,1647.0,1078.0,65.45233758348512
PINE TREE ISD,092904,Spring 2026,4177.0,3171.0,75.9157289920996
PITTSBURG ISD,032902,Spring 2026,2020.0,1669.0,82.62376237623762
PLAINS ISD,251902,Spring 2026,355.0,246.0,69.29577464788733
PLAINVIEW ISD,095905,Spring 2026,3263.0,1890.0,57.92215752375115
PLANO ISD,043910,Spring 2026,39776.0,30439.0,76.52604585679806
PLEASANT GROVE ISD,019912,Spring 2026,2201.0,1882.0,85.50658791458427
PLEASANTON ISD,007905,Spring 2026,2981.0,1905.0,63.90472995639047
PLEMONS-STINNETT-PHILLIPS CISD,117904,Spring 2026,509.0,401.0,78.7819253438114
POINT ISABEL ISD,031909,Spring 2026,1511.0,992.0,65.65188616810059
PONDER ISD,061906,Spring 2026,1660.0,1191.0,71.74698795180723
POOLVILLE ISD,184901,Spring 2026,779.0,526.0,67.52246469833119
PORT ARANSAS ISD,178908,Spring 2026,543.0,422.0,77.71639042357275
PORT ARTHUR ISD,123907,Spring 2026,7044.0,4071.0,57.793867120954005
PORT NECHES-GROVES ISD,123908,Spring 2026,5215.0,3933.0,75.4170661553212
POST ISD,085902,Spring 2026,571.0,336.0,58.844133099824866
POTEET ISD,007906,Spring 2026,1615.0,928.0,57.46130030959752
POTH ISD,247904,Spring 2026,982.0,828.0,84.31771894093686
POTTSBORO ISD,091913,Spring 2026,1277.0,1084.0,84.88645262333594
PRAIRIE LEA ISD,028906,Spring 2026,229.0,92.0,40.174672489082965
PRAIRIE VALLEY ISD,169909,Spring 2026,125.0,89.0,71.2
PRAIRILAND ISD,139912,Spring 2026,1066.0,857.0,80.39399624765478
PREMONT ISD,125905,Spring 2026,699.0,430.0,61.51645207439199
PRESIDIO ISD,189902,Spring 2026,1003.0,511.0,50.94715852442672
PRIDDY ISD,167904,Spring 2026,71.0,39.0,54.929577464788736
PRINCETON ISD,043911,Spring 2026,11342.0,7802.0,68.78857344383707
PRINGLE-MORSE CISD,098903,Spring 2026,114.0,82.0,71.9298245614035
PROGRESO ISD,108910,Spring 2026,1130.0,784.0,69.38053097345133
PROSPER ISD,043912,Spring 2026,33282.0,29244.0,87.86731566612583
QUANAH ISD,099903,Spring 2026,348.0,266.0,76.4367816091954
QUEEN CITY ISD,034907,Spring 2026,734.0,520.0,70.84468664850137
QUINLAN ISD,116908,Spring 2026,2689.0,1660.0,61.732986240238006
QUITMAN ISD,250904,Spring 2026,1185.0,909.0,76.70886075949367
RAINS ISD,190903,Spring 2026,1589.0,995.0,62.61799874134676
RALLS ISD,054903,Spring 2026,300.0,155.0,51.66666666666667
RAMIREZ CSD,066005,Spring 2026,26.0,0.0,0.0
RANDOLPH FIELD ISD,015906,Spring 2026,1347.0,1279.0,94.9517446176689
RANGER ISD,067907,Spring 2026,260.0,139.0,53.46153846153846
RANKIN ISD,231902,Spring 2026,298.0,240.0,80.53691275167785
RAYMONDVILLE ISD,245903,Spring 2026,1609.0,1333.0,82.84648850217526
REAGAN COUNTY ISD,192901,Spring 2026,745.0,461.0,61.87919463087248
RED LICK ISD,019911,Spring 2026,752.0,708.0,94.14893617021278
RED OAK ISD,070911,Spring 2026,6063.0,4057.0,66.9140689427676
REDWATER ISD,019906,Spring 2026,1036.0,823.0,79.44015444015444
REFUGIO ISD,196903,Spring 2026,579.0,372.0,64.24870466321244
RICARDO ISD,137902,Spring 2026,896.0,773.0,86.27232142857143
RICE CISD,045903,Spring 2026,1147.0,716.0,62.42371403661726
RICE ISD,175911,Spring 2026,1062.0,731.0,68.83239171374764
RICHARDS ISD,093905,Spring 2026,228.0,156.0,68.42105263157895
RICHARDSON ISD,057916,Spring 2026,31162.0,22151.0,71.08337077209421
RICHLAND SPRINGS ISD,206902,Spring 2026,87.0,63.0,72.41379310344827
RIESEL ISD,161912,Spring 2026,607.0,497.0,81.87808896210873
RIO GRANDE CITY GRULLA ISD,214901,Spring 2026,8017.0,5822.0,72.62068105276288
RIO HONDO ISD,031911,Spring 2026,1199.0,714.0,59.549624687239366
RIO VISTA ISD,126907,Spring 2026,1042.0,760.0,72.93666026871402
RISING STAR ISD,067908,Spring 2026,151.0,95.0,62.913907284768214
RIVER ROAD ISD,188902,Spring 2026,1056.0,679.0,64.29924242424242
RIVERCREST ISD,194903,Spring 2026,635.0,470.0,74.01574803149606
RIVIERA ISD,137903,Spring 2026,310.0,216.0,69.6774193548387
ROBERT LEE ISD,041902,Spring 2026,214.0,131.0,61.21495327102804
ROBINSON ISD,161922,Spring 2026,2362.0,1958.0,82.89585097375107
ROBSTOWN ISD,178909,Spring 2026,2234.0,1081.0,48.38854073410922
ROBY CISD,076903,Spring 2026,297.0,239.0,80.47138047138047
ROCHELLE ISD,160904,Spring 2026,105.0,83.0,79.04761904761905
ROCKDALE ISD,166904,Spring 2026,1338.0,912.0,68.16143497757847
ROCKPORT-FULTON ISD,004901,Spring 2026,2567.0,1538.0,59.91429684456564
ROCKSPRINGS ISD,069901,Spring 2026,174.0,107.0,61.49425287356321
ROCKWALL ISD,199901,Spring 2026,17792.0,14645.0,82.31227517985612
ROGERS ISD,014907,Spring 2026,805.0,593.0,73.66459627329192
ROMA ISD,214903,Spring 2026,5354.0,4389.0,81.97609264101607
ROOSEVELT ISD,152908,Spring 2026,1070.0,706.0,65.98130841121495
ROPES ISD,110905,Spring 2026,600.0,489.0,81.5
ROSCOE COLLEGIATE ISD,177901,Spring 2026,14019.0,5624.0,40.11698409301662
ROSEBUD-LOTT ISD,073905,Spring 2026,696.0,500.0,71.83908045977012
ROTAN ISD,076904,Spring 2026,273.0,168.0,61.53846153846154
ROUND ROCK ISD,246909,Spring 2026,41232.0,33495.0,81.23544819557625
ROUND TOP-CARMINE ISD,075908,Spring 2026,231.0,204.0,88.31168831168831
ROYAL ISD,237905,Spring 2026,2902.0,1624.0,55.96140592694693
ROYSE CITY ISD,199902,Spring 2026,9705.0,6591.0,67.91344667697064
RULE ISD,104903,Spring 2026,137.0,89.0,64.96350364963503
RUNGE ISD,128903,Spring 2026,134.0,71.0,52.98507462686567
RUSK ISD,037907,Spring 2026,1849.0,1412.0,76.36560302866414
S AND S CISD,091914,Spring 2026,802.0,524.0,65.33665835411472
SABINAL ISD,232902,Spring 2026,451.0,280.0,62.08425720620843
SABINE ISD,092906,Spring 2026,1492.0,978.0,65.54959785522789
SABINE PASS ISD,123913,Spring 2026,346.0,294.0,84.97109826589595
SAINT JO ISD,169911,Spring 2026,259.0,187.0,72.2007722007722
SALADO ISD,014908,Spring 2026,2455.0,1926.0,78.4521384928717
SALTILLO ISD,112909,Spring 2026,222.0,196.0,88.28828828828829
SAM RAYBURN ISD,074917,Spring 2026,430.0,348.0,80.93023255813954
SAN ANGELO ISD,226903,Spring 2026,11707.0,7645.0,65.3028102844452
SAN ANTONIO ISD,015907,Spring 2026,34862.0,19297.0,55.35253284378406
SAN AUGUSTINE ISD,203901,Spring 2026,504.0,282.0,55.952380952380956
SAN BENITO CISD,031912,Spring 2026,7387.0,4929.0,66.72532827940978
SAN DIEGO ISD,066902,Spring 2026,1308.0,935.0,71.48318042813455
SAN ELIZARIO ISD,071904,Spring 2026,2511.0,1543.0,61.449621664675426
SAN FELIPE-DEL RIO CISD,233901,Spring 2026,8740.0,5465.0,62.52860411899314
SAN ISIDRO ISD,214902,Spring 2026,148.0,90.0,60.810810810810814
SAN MARCOS CISD,105902,Spring 2026,7419.0,4744.0,63.943927753066454
SAN PERLITA ISD,245904,Spring 2026,131.0,96.0,73.2824427480916
SAN SABA ISD,206901,Spring 2026,642.0,443.0,69.00311526479751
SAN VICENTE ISD,022903,Spring 2026,10.0,0.0,0.0
SANDS CISD,058909,Spring 2026,225.0,180.0,80.0
SANFORD-FRITCH ISD,117903,Spring 2026,695.0,493.0,70.93525179856115
SANGER ISD,061908,Spring 2026,2827.0,2062.0,72.9395118500177
SANTA ANNA ISD,042903,Spring 2026,227.0,123.0,54.18502202643172
SANTA FE ISD,084909,Spring 2026,3986.0,2994.0,75.11289513296538
SANTA GERTRUDIS ISD,137904,Spring 2026,577.0,524.0,90.81455805892547
SANTA MARIA ISD,031913,Spring 2026,443.0,291.0,65.68848758465012
SANTA ROSA ISD,031914,Spring 2026,723.0,516.0,71.36929460580913
SANTO ISD,182904,Spring 2026,589.0,511.0,86.75721561969439
SAVOY ISD,074911,Spring 2026,294.0,219.0,74.48979591836735
SCHERTZ-CIBOLO-U CITY ISD,094902,Spring 2026,13534.0,9809.0,72.47672528446874
SCHLEICHER ISD,207901,Spring 2026,363.0,276.0,76.03305785123968
SCHULENBURG ISD,075903,Spring 2026,534.0,319.0,59.737827715355806
SCURRY-ROSSER ISD,129910,Spring 2026,955.0,748.0,78.32460732984293
SEAGRAVES ISD,083901,Spring 2026,436.0,239.0,54.81651376146789
SEALY ISD,008902,Spring 2026,2771.0,1809.0,65.28329123060267
SEGUIN ISD,094901,Spring 2026,6587.0,3922.0,59.54152117807803
SEMINOLE ISD,083903,Spring 2026,2930.0,1894.0,64.64163822525597
SEYMOUR ISD,012901,Spring 2026,586.0,492.0,83.95904436860067
SHALLOWATER ISD,152909,Spring 2026,1640.0,1366.0,83.29268292682926
SHAMROCK ISD,242902,Spring 2026,320.0,180.0,56.25
SHARYLAND ISD,108911,Spring 2026,8902.0,6666.0,74.8820489777578
SHELBYVILLE ISD,210903,Spring 2026,790.0,667.0,84.43037974683544
SHELDON ISD,101924,Spring 2026,9443.0,5955.0,63.06258604257121
SHEPHERD ISD,204904,Spring 2026,1744.0,1019.0,58.428899082568805
SHERMAN ISD,091906,Spring 2026,6856.0,4105.0,59.874562427071176
SHINER ISD,143903,Spring 2026,709.0,640.0,90.26798307475318
SIDNEY ISD,047905,Spring 2026,132.0,91.0,68.93939393939394
SIERRA BLANCA ISD,115902,Spring 2026,79.0,27.0,34.177215189873415
SILSBEE ISD,100904,Spring 2026,2222.0,1434.0,64.53645364536453
SILVERTON ISD,023902,Spring 2026,193.0,141.0,73.05699481865285
SIMMS ISD,019909,Spring 2026,373.0,282.0,75.60321715817693
SINTON ISD,205906,Spring 2026,1879.0,1257.0,66.897285790314
SIVELLS BEND ISD,049909,Spring 2026,77.0,44.0,57.14285714285714
SKIDMORE-TYNAN ISD,013905,Spring 2026,754.0,560.0,74.27055702917772
SLATON ISD,152903,Spring 2026,1105.0,677.0,61.26696832579186
SLIDELL ISD,249908,Spring 2026,494.0,296.0,59.91902834008097
SLOCUM ISD,001909,Spring 2026,331.0,239.0,72.20543806646525
SMITHVILLE ISD,011904,Spring 2026,1809.0,1215.0,67.16417910447761
SMYER ISD,110906,Spring 2026,416.0,335.0,80.52884615384616
SNOOK ISD,026903,Spring 2026,529.0,344.0,65.02835538752363
SNYDER ISD,208902,Spring 2026,2085.0,1136.0,54.48441247002398
SOCORRO ISD,071909,Spring 2026,37750.0,30045.0,79.58940397350993
SOMERSET ISD,015909,Spring 2026,3586.0,2674.0,74.56776352481874
SOMERVILLE ISD,026902,Spring 2026,542.0,316.0,58.30258302583026
SONORA ISD,218901,Spring 2026,613.0,426.0,69.49429037520392
SOUTH SAN ANTONIO ISD,015908,Spring 2026,5918.0,3556.0,60.087867522811756
SOUTH TEXAS ISD,031916,Spring 2026,3249.0,2979.0,91.68975069252078
SOUTHLAND ISD,085903,Spring 2026,186.0,135.0,72.58064516129032
SOUTHSIDE ISD,015917,Spring 2026,5225.0,3619.0,69.26315789473684
SOUTHWEST ISD,015912,Spring 2026,13173.0,8469.0,64.29059439763152
SPEARMAN ISD,098904,Spring 2026,627.0,441.0,70.33492822966507
SPLENDORA ISD,170907,Spring 2026,5594.0,3407.0,60.90454057919199
SPRING BRANCH ISD,101920,Spring 2026,28539.0,21777.0,76.30610743193525
SPRING HILL ISD,092907,Spring 2026,1879.0,1620.0,86.21607237892496
SPRING ISD,101919,Spring 2026,29587.0,17745.0,59.97566498800148
SPRINGLAKE-EARTH ISD,140907,Spring 2026,202.0,151.0,74.75247524752476
SPRINGTOWN ISD,184902,Spring 2026,4016.0,2764.0,68.82470119521913
SPUR ISD,063903,Spring 2026,180.0,119.0,66.11111111111111
SPURGER ISD,229905,Spring 2026,379.0,279.0,73.61477572559367
STAFFORD MSD,079910,Spring 2026,3252.0,2269.0,69.77244772447725
STAMFORD ISD,127906,Spring 2026,546.0,398.0,72.89377289377289
STANTON ISD,156902,Spring 2026,1042.0,814.0,78.1190019193858
STEPHENVILLE ISD,072903,Spring 2026,3221.0,2661.0,82.61409500155231
STERLING CITY ISD,216901,Spring 2026,267.0,213.0,79.7752808988764
STOCKDALE ISD,247906,Spring 2026,796.0,601.0,75.50251256281408
STRATFORD ISD,211902,Spring 2026,449.0,350.0,77.9510022271715
STRAWN ISD,182905,Spring 2026,149.0,109.0,73.15436241610739
SUDAN ISD,140908,Spring 2026,412.0,308.0,74.75728155339806
SULPHUR BLUFF ISD,112910,Spring 2026,133.0,101.0,75.93984962406014
SULPHUR SPRINGS ISD,112901,Spring 2026,3693.0,2444.0,66.1792580557812
SUNDOWN ISD,110907,Spring 2026,492.0,459.0,93.29268292682927
