gisjoin,year,state,district,district_code,median_household_income,income_moe
G48010830,2020-2024,Texas,Booker ISD,10830,70714.0,6681.0
G48010860,2020-2024,Texas,Borden County ISD,10860,66667.0,23346.0
G48010890,2020-2024,Texas,Borger ISD,10890,65614.0,9997.0
G48010910,2020-2024,Texas,Bosqueville ISD,10910,81042.0,5991.0
G48010950,2020-2024,Texas,Bovina ISD,10950,59125.0,23908.0
G48010990,2020-2024,Texas,Bowie ISD,10990,66461.0,6904.0
G48011010,2020-2024,Texas,Boyd ISD,11010,73988.0,16846.0
G48011040,2020-2024,Texas,Boys Ranch ISD,11040,,
G48011070,2020-2024,Texas,Brackett ISD,11070,70000.0,8852.0
G48011110,2020-2024,Texas,Brady ISD,11110,54492.0,18088.0
G48044470,2020-2024,Texas,Brazos ISD,44470,44768.0,18086.0
G48011190,2020-2024,Texas,Brazosport ISD,11190,80703.0,5263.0
G48011220,2020-2024,Texas,Breckenridge ISD,11220,57852.0,10314.0
G48011250,2020-2024,Texas,Bremond ISD,11250,72500.0,17954.0
G48011280,2020-2024,Texas,Brenham ISD,11280,75639.0,6066.0
G48011310,2020-2024,Texas,Bridge City ISD,11310,93152.0,11363.0
G48011340,2020-2024,Texas,Bridgeport ISD,11340,88929.0,16654.0
G48011430,2020-2024,Texas,Broaddus ISD,11430,60134.0,10052.0
G48011460,2020-2024,Texas,Brock ISD,11460,142130.0,28797.0
G48011490,2020-2024,Texas,Bronte ISD,11490,61563.0,10483.0
G48011520,2020-2024,Texas,Brookeland ISD,11520,69830.0,16087.0
G48011550,2020-2024,Texas,Brookesmith ISD,11550,53487.0,25578.0
G48011580,2020-2024,Texas,Brooks County ISD,11580,47764.0,16489.0
G48011610,2020-2024,Texas,Brownfield ISD,11610,42971.0,2708.0
G48011640,2020-2024,Texas,Brownsboro ISD,11640,63112.0,4510.0
G48011680,2020-2024,Texas,Brownsville ISD,11680,48874.0,1923.0
G48011700,2020-2024,Texas,Brownwood ISD,11700,51765.0,8092.0
G48011730,2020-2024,Texas,Bruceville-Eddy ISD,11730,63103.0,24421.0
G48011790,2020-2024,Texas,Bryan ISD,11790,61113.0,1838.0
G48011820,2020-2024,Texas,Bryson ISD,11820,70568.0,27386.0
