test_group,minimum_tests,slope_per_dollar,slope_per_20000_dollars,intercept,r_value,r_squared,p_value,standard_error,n_districts
Elementary/middle,500,0.00019627625574105328,3.9255251148210655,55.6639368107882,0.4791158209126058,0.22955196984876014,5.640040085831332e-40,1.3871208210398643e-05,674
EOC,500,0.00015979111276002815,3.195822255200563,69.20534913534681,0.5556384500123637,0.30873408713214195,4.014942838513403e-36,1.1570948573104982e-05,429
