district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
WEATHERFORD ISD,184903,Spring 2026,3197,2620.0,81.95182984047544
WEBB CISD,240904,Spring 2026,67,48.0,71.64179104477611
WEIMAR ISD,045905,Spring 2026,279,251.0,89.96415770609319
WELLINGTON ISD,044902,Spring 2026,233,208.0,89.27038626609442
WELLMAN-UNION CISD,223904,Spring 2026,53,51.0,96.22641509433963
WELLS ISD,037909,Spring 2026,91,77.0,84.61538461538461
WESLACO ISD,108913,Spring 2026,6497,5210.0,80.19085731876251
WEST HARDIN COUNTY CISD,100908,Spring 2026,194,174.0,89.69072164948454
WEST ISD,161916,Spring 2026,485,446.0,91.95876288659794
WEST ORANGE-COVE CISD,181906,Spring 2026,920,660.0,71.73913043478261
WEST OSO ISD,178915,Spring 2026,563,471.0,83.65896980461812
WEST RUSK COUNTY CONSOLIDATED ISD,201914,Spring 2026,434,380.0,87.55760368663594
WEST SABINE ISD,202905,Spring 2026,209,165.0,78.94736842105263
WESTBROOK ISD,168903,Spring 2026,92,84.0,91.30434782608695
WESTHOFF ISD,062905,Spring 2026,18,10.0,55.55555555555556
WESTPHALIA ISD,073904,Spring 2026,6,6.0,100.0
WESTWOOD ISD,001908,Spring 2026,541,373.0,68.94639556377079
WHARTON ISD,241904,Spring 2026,654,456.0,69.72477064220183
WHEELER ISD,242903,Spring 2026,149,144.0,96.64429530201343
WHITE DEER ISD,033904,Spring 2026,116,106.0,91.37931034482759
WHITE OAK ISD,092908,Spring 2026,555,510.0,91.8918918918919
WHITE SETTLEMENT ISD,220920,Spring 2026,3077,2305.0,74.91062723431914
WHITEFACE CISD,040902,Spring 2026,106,103.0,97.16981132075472
WHITEHOUSE ISD,212906,Spring 2026,1876,1708.0,91.04477611940298
WHITESBORO ISD,091909,Spring 2026,661,578.0,87.44326777609682
WHITEWRIGHT ISD,091910,Spring 2026,268,245.0,91.4179104477612
WHITHARRAL ISD,110908,Spring 2026,73,69.0,94.52054794520548
WHITNEY ISD,109911,Spring 2026,522,458.0,87.73946360153256
WICHITA FALLS ISD,243905,Spring 2026,4783,3645.0,76.20740121262806
WILDORADO ISD,180904,Spring 2026,57,56.0,98.24561403508771
WILLIS ISD,170904,Spring 2026,3795,3040.0,80.10540184453228
WILLS POINT ISD,234907,Spring 2026,1100,819.0,74.45454545454545
WILSON ISD,153907,Spring 2026,44,33.0,75.0
WIMBERLEY ISD,105905,Spring 2026,1158,1038.0,89.63730569948186
WINDTHORST ISD,005904,Spring 2026,186,179.0,96.23655913978494
