district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
SILVERTON ISD,023902,Spring 2026,269.0,214.0,79.5539033457249
SIMMS ISD,019909,Spring 2026,548.0,449.0,81.93430656934306
SINTON ISD,205906,Spring 2026,2562.0,1819.0,70.9992193598751
SIVELLS BEND ISD,049909,Spring 2026,78.0,44.0,56.41025641025641
SKIDMORE-TYNAN ISD,013905,Spring 2026,1031.0,831.0,80.60135790494665
SLATON ISD,152903,Spring 2026,1553.0,1028.0,66.19446233097231
SLIDELL ISD,249908,Spring 2026,672.0,434.0,64.58333333333334
SLOCUM ISD,001909,Spring 2026,444.0,340.0,76.57657657657657
SMITHVILLE ISD,011904,Spring 2026,2504.0,1782.0,71.1661341853035
SMYER ISD,110906,Spring 2026,555.0,464.0,83.6036036036036
SNOOK ISD,026903,Spring 2026,751.0,528.0,70.30625832223701
SNYDER ISD,208902,Spring 2026,3127.0,1877.0,60.02558362647905
SOCORRO ISD,071909,Spring 2026,57740.0,47367.0,82.03498441288535
SOMERSET ISD,015909,Spring 2026,5260.0,4137.0,78.65019011406844
SOMERVILLE ISD,026902,Spring 2026,743.0,457.0,61.50740242261104
SONORA ISD,218901,Spring 2026,870.0,641.0,73.67816091954023
SOUTH SAN ANTONIO ISD,015908,Spring 2026,8628.0,5576.0,64.62679647658786
SOUTH TEXAS ISD,031916,Spring 2026,7165.0,6670.0,93.09141660851361
SOUTHLAND ISD,085903,Spring 2026,220.0,160.0,72.72727272727273
SOUTHSIDE ISD,015917,Spring 2026,7589.0,5424.0,71.47186717617603
SOUTHWEST ISD,015912,Spring 2026,19531.0,13217.0,67.67190620039936
SPEARMAN ISD,098904,Spring 2026,871.0,659.0,75.6601607347876
SPLENDORA ISD,170907,Spring 2026,8106.0,5272.0,65.03824327658525
SPRING BRANCH ISD,101920,Spring 2026,40811.0,32049.0,78.53029820391562
SPRING HILL ISD,092907,Spring 2026,2613.0,2294.0,87.79181017986988
SPRING ISD,101919,Spring 2026,42045.0,26872.0,63.912474729456534
SPRINGLAKE-EARTH ISD,140907,Spring 2026,270.0,207.0,76.66666666666667
SPRINGTOWN ISD,184902,Spring 2026,5612.0,4061.0,72.36279401282964
SPUR ISD,063903,Spring 2026,256.0,192.0,75.0
SPURGER ISD,229905,Spring 2026,500.0,381.0,76.2
STAFFORD MSD,079910,Spring 2026,4797.0,3551.0,74.02543256201793
STAMFORD ISD,127906,Spring 2026,704.0,544.0,77.27272727272727
STANTON ISD,156902,Spring 2026,1471.0,1165.0,79.19782460910945
STEPHENVILLE ISD,072903,Spring 2026,4615.0,3881.0,84.09534127843988
STERLING CITY ISD,216901,Spring 2026,374.0,305.0,81.55080213903744
STOCKDALE ISD,247906,Spring 2026,1111.0,886.0,79.74797479747974
STRATFORD ISD,211902,Spring 2026,625.0,512.0,81.92
STRAWN ISD,182905,Spring 2026,212.0,158.0,74.52830188679245
SUDAN ISD,140908,Spring 2026,592.0,479.0,80.91216216216216
SULPHUR BLUFF ISD,112910,Spring 2026,203.0,159.0,78.32512315270937
SULPHUR SPRINGS ISD,112901,Spring 2026,5292.0,3748.0,70.82388510959939
SUNDOWN ISD,110907,Spring 2026,742.0,693.0,93.39622641509435
SUNNYVALE ISD,057919,Spring 2026,3148.0,2831.0,89.93011435832274
SUNRAY COLLEGIATE ISD,171902,Spring 2026,735.0,602.0,81.9047619047619
SWEENY ISD,020906,Spring 2026,2298.0,1740.0,75.71801566579634
SWEET HOME ISD,143905,Spring 2026,198.0,160.0,80.8080808080808
SWEETWATER ISD,177902,Spring 2026,2108.0,1333.0,63.23529411764706
TAFT ISD,205907,Spring 2026,1030.0,642.0,62.33009708737865
TAHOKA ISD,153904,Spring 2026,814.0,649.0,79.72972972972973
TARKINGTON ISD,146907,Spring 2026,2503.0,1643.0,65.64123052337195
TATUM ISD,201910,Spring 2026,1797.0,1454.0,80.91263216471899
TAYLOR ISD,246911,Spring 2026,3672.0,2473.0,67.3474945533769
TEAGUE ISD,081904,Spring 2026,1510.0,1204.0,79.73509933774835
TEMPLE ISD,014909,Spring 2026,11100.0,7365.0,66.35135135135135
TENAHA ISD,210904,Spring 2026,518.0,372.0,71.81467181467181
TERLINGUA CSD,022004,Spring 2026,167.0,73.0,43.712574850299404
TERRELL COUNTY ISD,222901,Spring 2026,164.0,123.0,75.0
TERRELL ISD,129906,Spring 2026,6830.0,4242.0,62.10834553440703
TEXARKANA ISD,019907,Spring 2026,12967.0,7653.0,59.01904835351276
TEXAS CITY ISD,084906,Spring 2026,9756.0,6446.0,66.07216072160722
TEXHOMA ISD,211901,Spring 2026,66.0,61.0,92.42424242424242
TEXLINE ISD,056902,Spring 2026,307.0,274.0,89.25081433224756
THORNDALE ISD,166905,Spring 2026,979.0,821.0,83.86108273748724
THRALL ISD,246912,Spring 2026,1256.0,1126.0,89.64968152866241
THREE RIVERS ISD,149902,Spring 2026,701.0,488.0,69.6148359486448
THREE WAY ISD,072901,Spring 2026,229.0,173.0,75.54585152838428
THROCKMORTON COLLEGIATE ISD,224901,Spring 2026,138.0,97.0,70.28985507246377
TIDEHAVEN ISD,158902,Spring 2026,1312.0,1166.0,88.8719512195122
TIMPSON ISD,210905,Spring 2026,913.0,735.0,80.50383351588171
TIOGA ISD,091907,Spring 2026,805.0,653.0,81.11801242236025
TOLAR ISD,111903,Spring 2026,1199.0,1039.0,86.65554628857382
TOM BEAN ISD,091918,Spring 2026,1040.0,779.0,74.90384615384616
TOMBALL ISD,101921,Spring 2026,32010.0,28531.0,89.13152139956264
TORNILLO ISD,071908,Spring 2026,929.0,645.0,69.42949407965554
TRENT ISD,221905,Spring 2026,149.0,99.0,66.44295302013423
TRENTON ISD,074912,Spring 2026,986.0,764.0,77.48478701825557
TRINIDAD ISD,107907,Spring 2026,250.0,146.0,58.4
TRINITY ISD,228903,Spring 2026,1491.0,840.0,56.33802816901409
TROUP ISD,212904,Spring 2026,1433.0,1164.0,81.22819260293092
TROY ISD,014910,Spring 2026,2330.0,1814.0,77.85407725321889
TULIA ISD,219903,Spring 2026,996.0,582.0,58.43373493975904
TULOSO-MIDWAY ISD,178912,Spring 2026,4849.0,3755.0,77.43864714374098
TURKEY-QUITAQUE ISD,096905,Spring 2026,243.0,198.0,81.48148148148148
